ALGORITHM_NAME,PHM_PATTERNS_SK,PARAMETER_NAME,PARAMETER_VALUE
# "LAS6: Error 205: Unreadable Barcode and ""Interface Module Unreadable Barcode - ??????""",10210,THRESHOLD_DESCRIPTION,1.5% BCR Error/day - 2 consecutive days
# "LAS6: Error 205: Unreadable Barcode and ""Interface Module Unreadable Barcode - ??????""",10210,THRESHOLDS_DAYS,2
# "LAS6: Error 205: Unreadable Barcode and ""Interface Module Unreadable Barcode - ??????""",10210,THRESHOLD_TYPE,CONSECUTIVE
# "LAS7: Error 205: Unreadable Barcode and ""Interface Module Unreadable Barcode - ??????""",10224,ALGORITHM_TYPE,LAS_205
# "LAS7: Error 205: Unreadable Barcode and ""Interface Module Unreadable Barcode - ??????""",10224,ERROR_CODE_REG_EXPR,LAS7
# "LAS7: Error 205: Unreadable Barcode and ""Interface Module Unreadable Barcode - ??????""",10224,ERROR_COUNT,1.5
# "LAS7: Error 205: Unreadable Barcode and ""Interface Module Unreadable Barcode - ??????""",10224,IHN_LEVEL3_DESC,"LAS7: Error 205: Unreadable Barcode and ""Interface Module Unreadable Barcode - ??????"""
# "LAS7: Error 205: Unreadable Barcode and ""Interface Module Unreadable Barcode - ??????""",10224,THRESHOLD_DATA_DAYS,
# "LAS7: Error 205: Unreadable Barcode and ""Interface Module Unreadable Barcode - ??????""",10224,THRESHOLD_DESCRIPTION,1.5% BCR Error/day - 2 consecutive days
# "LAS7: Error 205: Unreadable Barcode and ""Interface Module Unreadable Barcode - ??????""",10224,THRESHOLDS_DAYS,2
# "LAS7: Error 205: Unreadable Barcode and ""Interface Module Unreadable Barcode - ??????""",10224,THRESHOLD_TYPE,CONSECUTIVE
# "LAS8: Error 205: Unreadable Barcode and ""Interface Module Unreadable Barcode - ??????""",10238,ALGORITHM_TYPE,LAS_205
# "LAS8: Error 205: Unreadable Barcode and ""Interface Module Unreadable Barcode - ??????""",10238,ERROR_CODE_REG_EXPR,LAS8
# "LAS8: Error 205: Unreadable Barcode and ""Interface Module Unreadable Barcode - ??????""",10238,ERROR_COUNT,1.5
# "LAS8: Error 205: Unreadable Barcode and ""Interface Module Unreadable Barcode - ??????""",10238,IHN_LEVEL3_DESC,"LAS8: Error 205: Unreadable Barcode and ""Interface Module Unreadable Barcode - ??????"""
# "LAS8: Error 205: Unreadable Barcode and ""Interface Module Unreadable Barcode - ??????""",10238,THRESHOLD_DATA_DAYS,
# "LAS8: Error 205: Unreadable Barcode and ""Interface Module Unreadable Barcode - ??????""",10238,THRESHOLD_DESCRIPTION,1.5% BCR Error/day - 2 consecutive days
# "LAS8: Error 205: Unreadable Barcode and ""Interface Module Unreadable Barcode - ??????""",10238,THRESHOLDS_DAYS,2
# "LAS8: Error 205: Unreadable Barcode and ""Interface Module Unreadable Barcode - ??????""",10238,THRESHOLD_TYPE,CONSECUTIVE
Unreadable Sample ID (BCR 1),10329,ALGORITHM_TYPE,BCR_1
Unreadable Sample ID (BCR 1),10329,ERROR_CODE_REG_EXPR,Unreadable Sample ID (BCR 1)
Unreadable Sample ID (BCR 1),10329,ERROR_COUNT,1.5
Unreadable Sample ID (BCR 1),10329,IHN_LEVEL3_DESC,Unreadable Sample ID (BCR 1)
Unreadable Sample ID (BCR 1),10329,THRESHOLD_DATA_DAYS,30
Unreadable Sample ID (BCR 1),10329,THRESHOLD_DESCRIPTION,% Error greater than 1.5 SD for 2 consecutive high volume days
Unreadable Sample ID (BCR 1),10329,THRESHOLDS_DAYS,2
Unreadable Sample ID (BCR 1),10329,THRESHOLD_TYPE,CONSECUTIVE
Unreadable Sample ID (BCR 2),10330,ALGORITHM_TYPE,BCR_2/3
Unreadable Sample ID (BCR 2),10330,ERROR_CODE_REG_EXPR,Unreadable Sample ID (BCR 2)
Unreadable Sample ID (BCR 2),10330,ERROR_COUNT,1.5
Unreadable Sample ID (BCR 2),10330,IHN_LEVEL3_DESC,Unreadable Sample ID (BCR 2)
Unreadable Sample ID (BCR 2),10330,THRESHOLD_DATA_DAYS,
Unreadable Sample ID (BCR 2),10330,THRESHOLD_DESCRIPTION,1.5%/day for 2 consecutive days
Unreadable Sample ID (BCR 2),10330,THRESHOLDS_DAYS,2
Unreadable Sample ID (BCR 2),10330,THRESHOLD_TYPE,CONSECUTIVE
Unreadable Sample ID (BCR 3),10331,ALGORITHM_TYPE,BCR_2/3
Unreadable Sample ID (BCR 3),10331,ERROR_CODE_REG_EXPR,Unreadable Sample ID (BCR 3)
Unreadable Sample ID (BCR 3),10331,ERROR_COUNT,1.5
Unreadable Sample ID (BCR 3),10331,IHN_LEVEL3_DESC,Unreadable Sample ID (BCR 3)
Unreadable Sample ID (BCR 3),10331,THRESHOLD_DATA_DAYS,
Unreadable Sample ID (BCR 3),10331,THRESHOLD_DESCRIPTION,1.5%/day for 2 consecutive days
Unreadable Sample ID (BCR 3),10331,THRESHOLDS_DAYS,2
Unreadable Sample ID (BCR 3),10331,THRESHOLD_TYPE,CONSECUTIVE
