SQL Statement which produced this data:
  SELECT 
      PTT.PHM_ALGORITHM_DEFINITIONS_SK,
      PTT.PHM_THRESHOLDS_SK,
      PTT.THRESHOLD_NUMBER,
      PTT.THRESHOLD_NUMBER_UNIT,
      PTT.THRESHOLD_NUMBER_DESC,
      PP.PHM_PATTERNS_SK,
      PP.PATTERN_DESCRIPTION,
      PTT.THRESHOLD_ALERT,
      PTT.THRESHOLD_TYPE, 
      PTT.THRESHOLD_DATA_DAYS
  FROM 
      svc_phm_owner.PHM_PATTERNS PP, 
      svc_phm_owner.PHM_THRESHOLDS PTT 
  WHERE 
      PP.PHM_PATTERNS_SK = PTT.PHM_PATTERNS_SK
  AND 
      PP.PHM_ALGORITHM_DEFINITIONS_SK = PTT.PHM_ALGORITHM_DEFINITIONS_SK 
  -- AND 
      -- PP.PHM_ALGORITHM_DEFINITIONS_SK in ( 1060 )
  ORDER BY 
      PTT.PHM_ALGORITHM_DEFINITIONS_SK,
      PTT.PHM_THRESHOLDS_SK;

PHM_ALGORITHM_DEFINITIONS_SK,PHM_THRESHOLDS_SK,THRESHOLD_NUMBER,THRESHOLD_NUMBER_UNIT,THRESHOLD_NUMBER_DESC,PHM_PATTERNS_SK,PATTERN_DESCRIPTION,THRESHOLD_ALERT,THRESHOLD_TYPE,THRESHOLD_DATA_DAYS
1002,290,5,"2","5/day - 2 consecutive days",10008,"Carrier Did Not Pass - Centrifuge Gate B","Carrier Did Not Pass - Centrifuge Gate B","CONSECUTIVE",2
1002,291,5,"2","5/day - 2 consecutive days",10009,"Carrier Did Not Pass - Centrifuge Gate C","Carrier Did Not Pass - Centrifuge Gate C","CONSECUTIVE",2
1002,292,5,"2","5/day - 2 consecutive days",10010,"Carrier Did Not Pass - Decapper Divert Gate","Carrier Did Not Pass - Decapper Divert Gate","CONSECUTIVE",2
1002,293,5,"2","5/day - 2 consecutive days",10011,"Carrier Did Not Pass - Decapper Gate","Carrier Did Not Pass - Decapper Gate","CONSECUTIVE",2
1002,294,5,"2","5/day - 2 consecutive days",10012,"Carrier Did Not Pass - Desealer Divert","Carrier Did Not Pass - Desealer Divert","CONSECUTIVE",2
1002,295,5,"2","5/day - 2 consecutive days",10013,"Carrier Did Not Pass - Desealer Gate","Carrier Did Not Pass - Desealer Gate","CONSECUTIVE",2
1002,296,5,"2","5/day - 2 consecutive days",10014,"Carrier Did Not Pass - Instrument 1 Gate","Carrier Did Not Pass - Instrument 1 Gate","CONSECUTIVE",2
1002,297,5,"2","5/day - 2 consecutive days",10015,"Carrier Did Not Pass - Instrument 2 Gate","Carrier Did Not Pass - Instrument 2 Gate","CONSECUTIVE",2
1002,298,5,"2","5/day - 2 consecutive days",10016,"Carrier Did Not Pass - Instrument 3 Gate","Carrier Did Not Pass - Instrument 3 Gate","CONSECUTIVE",2
1002,299,5,"2","5/day - 2 consecutive days",10017,"Carrier Did Not Pass - Instrument 4 Gate","Carrier Did Not Pass - Instrument 4 Gate","CONSECUTIVE",2
1002,300,5,"2","5/day - 2 consecutive days",10018,"Carrier Did Not Pass - Instrument 5 Gate","Carrier Did Not Pass - Instrument 5 Gate","CONSECUTIVE",2
1002,321,5,"2","5/day - 2 consecutive days",10019,"Carrier Did Not Pass - Instrument 6 Gate","Carrier Did Not Pass - Instrument 6 Gate","CONSECUTIVE",2
1002,322,5,"2","5/day - 2 consecutive days",10020,"Carrier Did Not Pass - Instrument 7 Gate","Carrier Did Not Pass - Instrument 7 Gate","CONSECUTIVE",2
1002,323,5,"2","5/day - 2 consecutive days",10021,"Carrier Did Not Pass - Instrument 8 Gate","Carrier Did Not Pass - Instrument 8 Gate","CONSECUTIVE",2
1002,324,5,"2","5/day - 2 consecutive days",10022,"Carrier Did Not Pass - IOM Divert Gate","Carrier Did Not Pass - IOM Divert Gate","CONSECUTIVE",2
1002,325,5,"2","5/day - 2 consecutive days",10023,"Carrier Did Not Pass - IOM Gate A","Carrier Did Not Pass - IOM Gate A","CONSECUTIVE",2
1002,326,5,"2","5/day - 2 consecutive days",10024,"Carrier Did Not Pass - IOM Gate B","Carrier Did Not Pass - IOM Gate B","CONSECUTIVE",2
1002,327,5,"2","5/day - 2 consecutive days",10025,"Carrier Did Not Pass - IOM Gate C","Carrier Did Not Pass - IOM Gate C","CONSECUTIVE",2
1002,328,5,"2","5/day - 2 consecutive days",10026,"Carrier Did Not Pass - Resealer Divert Gate","Carrier Did Not Pass - Resealer Divert Gate","CONSECUTIVE",2
1002,329,5,"2","5/day - 2 consecutive days",10027,"Carrier Did Not Pass - Resealer Gate","Carrier Did Not Pass - Resealer Gate","CONSECUTIVE",2
1002,330,5,"2","5/day - 2 consecutive days",10028,"Carrier Did Not Pass - Return Gate 1","Carrier Did Not Pass - Return Gate 1","CONSECUTIVE",2
1002,331,5,"2","5/day - 2 consecutive days",10029,"Carrier Did Not Pass - Return Gate 2","Carrier Did Not Pass - Return Gate 2","CONSECUTIVE",2
1002,332,5,"2","5/day - 2 consecutive days",10030,"Carrier Did Not Pass - Return Gate 3","Carrier Did Not Pass - Return Gate 3","CONSECUTIVE",2
1002,333,5,"2","5/day - 2 consecutive days",10031,"Carrier Did Not Pass - Return Gate 4","Carrier Did Not Pass - Return Gate 4","CONSECUTIVE",2
1002,334,5,"2","5/day - 2 consecutive days",10032,"Carrier Did Not Pass - Return Gate 5","Carrier Did Not Pass - Return Gate 5","CONSECUTIVE",2
1002,335,5,"2","5/day - 2 consecutive days",10033,"Carrier Did Not Pass - Return Gate 6","Carrier Did Not Pass - Return Gate 6","CONSECUTIVE",2
1002,336,5,"2","5/day - 2 consecutive days",10034,"Carrier Did Not Pass - Return Gate 7","Carrier Did Not Pass - Return Gate 7","CONSECUTIVE",2
1002,337,5,"2","5/day - 2 consecutive days",10035,"Carrier Did Not Pass - Return Gate 8","Carrier Did Not Pass - Return Gate 8","CONSECUTIVE",2
1002,338,5,"2","5/day - 2 consecutive days",10036,"Carrier Did Not Pass - RIM Divert","Carrier Did Not Pass - RIM Divert","CONSECUTIVE",2
1002,339,5,"2","5/day - 2 consecutive days",10037,"Carrier Did Not Pass - Sampling Gate 1","Carrier Did Not Pass - Sampling Gate 1","CONSECUTIVE",2
1002,340,5,"2","5/day - 2 consecutive days",10038,"Carrier Did Not Pass - Sampling Gate 2","Carrier Did Not Pass - Sampling Gate 2","CONSECUTIVE",2
1002,341,5,"2","5/day - 2 consecutive days",10039,"Carrier Did Not Pass - Sampling Gate 3","Carrier Did Not Pass - Sampling Gate 3","CONSECUTIVE",2
1002,342,5,"2","5/day - 2 consecutive days",10040,"Carrier Did Not Pass - Sampling Gate 4","Carrier Did Not Pass - Sampling Gate 4","CONSECUTIVE",2
1002,343,5,"2","5/day - 2 consecutive days",10041,"Carrier Did Not Pass - Sampling Gate 5","Carrier Did Not Pass - Sampling Gate 5","CONSECUTIVE",2
1002,344,5,"2","5/day - 2 consecutive days",10042,"Carrier Did Not Pass - Sampling Gate 6","Carrier Did Not Pass - Sampling Gate 6","CONSECUTIVE",2
1002,345,5,"2","5/day - 2 consecutive days",10043,"Carrier Did Not Pass - Sampling Gate 7","Carrier Did Not Pass - Sampling Gate 7","CONSECUTIVE",2
1002,346,5,"2","5/day - 2 consecutive days",10044,"Carrier Did Not Pass - Sampling Gate 8","Carrier Did Not Pass - Sampling Gate 8","CONSECUTIVE",2
1002,347,5,"2","5/day - 2 consecutive days",10045,"Carrier Did Not Pass - Storage Gate A","Carrier Did Not Pass - Storage Gate A","CONSECUTIVE",2
1002,348,5,"2","5/day - 2 consecutive days",10046,"Carrier Did Not Pass - Storage Gate B","Carrier Did Not Pass - Storage Gate B","CONSECUTIVE",2
1002,349,5,"2","5/day - 2 consecutive days",10047,"Carrier Did Not Pass - Storage Gate C","Carrier Did Not Pass - Storage Gate C","CONSECUTIVE",2
1002,350,5,"2","5/day - 2 consecutive days",10048,"Carrier Did Not Pass - Storage Gate D","Carrier Did Not Pass - Storage Gate D","CONSECUTIVE",2
1002,351,20,"2","20/day - 2 consecutive days",10049,"Carrier Routing Error - Aliquoter Divert","Carrier Routing Error - Aliquoter Divert","CONSECUTIVE",2
1002,352,20,"2","20/day - 2 consecutive days",10050,"Carrier Routing Error - Centrifuge 2 Gate A","Carrier Routing Error - Centrifuge 2 Gate A","CONSECUTIVE",2
1002,353,20,"2","20/day - 2 consecutive days",10051,"Carrier Routing Error - Centrifuge 2 Gate B","Carrier Routing Error - Centrifuge 2 Gate B","CONSECUTIVE",2
1002,354,20,"2","20/day - 2 consecutive days",10052,"Carrier Routing Error - Centrifuge 2 Gate C","Carrier Routing Error - Centrifuge 2 Gate C","CONSECUTIVE",2
1002,355,20,"2","20/day - 2 consecutive days",10053,"Carrier Routing Error - Centrifuge Gate A","Carrier Routing Error - Centrifuge Gate A","CONSECUTIVE",2
1002,356,20,"2","20/day - 2 consecutive days",10054,"Carrier Routing Error - Centrifuge Gate B","Carrier Routing Error - Centrifuge Gate B","CONSECUTIVE",2
1002,357,20,"2","20/day - 2 consecutive days",10055,"Carrier Routing Error - Centrifuge Gate C","Carrier Routing Error - Centrifuge Gate C","CONSECUTIVE",2
1002,358,20,"2","20/day - 2 consecutive days",10056,"Carrier Routing Error - Decapper Divert Gate","Carrier Routing Error - Decapper Divert Gate","CONSECUTIVE",2
1002,359,20,"2","20/day - 2 consecutive days",10057,"Carrier Routing Error - Decapper Gate","Carrier Routing Error - Decapper Gate","CONSECUTIVE",2
1002,360,20,"2","20/day - 2 consecutive days",10058,"Carrier Routing Error - Desealer Divert","Carrier Routing Error - Desealer Divert","CONSECUTIVE",2
1002,361,20,"2","20/day - 2 consecutive days",10059,"Carrier Routing Error - Desealer Gate","Carrier Routing Error - Desealer Gate","CONSECUTIVE",2
1002,362,20,"2","20/day - 2 consecutive days",10060,"Carrier Routing Error - Instrument 1 Gate","Carrier Routing Error - Instrument 1 Gate","CONSECUTIVE",2
1002,363,20,"2","20/day - 2 consecutive days",10061,"Carrier Routing Error - Instrument 2 Gate","Carrier Routing Error - Instrument 2 Gate","CONSECUTIVE",2
1002,364,20,"2","20/day - 2 consecutive days",10062,"Carrier Routing Error - Instrument 3 Gate","Carrier Routing Error - Instrument 3 Gate","CONSECUTIVE",2
1002,365,20,"2","20/day - 2 consecutive days",10063,"Carrier Routing Error - Instrument 4 Gate","Carrier Routing Error - Instrument 4 Gate","CONSECUTIVE",2
1002,366,20,"2","20/day - 2 consecutive days",10064,"Carrier Routing Error - Instrument 5 Gate","Carrier Routing Error - Instrument 5 Gate","CONSECUTIVE",2
1002,367,20,"2","20/day - 2 consecutive days",10065,"Carrier Routing Error - Instrument 6 Gate","Carrier Routing Error - Instrument 6 Gate","CONSECUTIVE",2
1002,368,20,"2","20/day - 2 consecutive days",10066,"Carrier Routing Error - Instrument 7 Gate","Carrier Routing Error - Instrument 7 Gate","CONSECUTIVE",2
1002,369,20,"2","20/day - 2 consecutive days",10067,"Carrier Routing Error - Instrument 8 Gate","Carrier Routing Error - Instrument 8 Gate","CONSECUTIVE",2
1002,370,20,"2","20/day - 2 consecutive days",10068,"Carrier Routing Error - IOM Divert Gate","Carrier Routing Error - IOM Divert Gate","CONSECUTIVE",2
1002,371,20,"2","20/day - 2 consecutive days",10069,"Carrier Routing Error - IOM Gate A","Carrier Routing Error - IOM Gate A","CONSECUTIVE",2
1002,372,20,"2","20/day - 2 consecutive days",10070,"Carrier Routing Error - IOM Gate B","Carrier Routing Error - IOM Gate B","CONSECUTIVE",2
1002,373,20,"2","20/day - 2 consecutive days",10071,"Carrier Routing Error - IOM Gate C","Carrier Routing Error - IOM Gate C","CONSECUTIVE",2
1002,374,20,"2","20/day - 2 consecutive days",10072,"Carrier Routing Error - Resealer Divert Gate","Carrier Routing Error - Resealer Divert Gate","CONSECUTIVE",2
1002,375,20,"2","20/day - 2 consecutive days",10073,"Carrier Routing Error - Resealer Gate","Carrier Routing Error - Resealer Gate","CONSECUTIVE",2
1002,376,20,"2","20/day - 2 consecutive days",10074,"Carrier Routing Error - Return Gate 1","Carrier Routing Error - Return Gate 1","CONSECUTIVE",2
1002,377,20,"2","20/day - 2 consecutive days",10075,"Carrier Routing Error - Return Gate 2","Carrier Routing Error - Return Gate 2","CONSECUTIVE",2
1002,378,20,"2","20/day - 2 consecutive days",10076,"Carrier Routing Error - Return Gate 3","Carrier Routing Error - Return Gate 3","CONSECUTIVE",2
1002,379,20,"2","20/day - 2 consecutive days",10077,"Carrier Routing Error - Return Gate 4","Carrier Routing Error - Return Gate 4","CONSECUTIVE",2
1002,380,20,"2","20/day - 2 consecutive days",10078,"Carrier Routing Error - Return Gate 5","Carrier Routing Error - Return Gate 5","CONSECUTIVE",2
1002,381,20,"2","20/day - 2 consecutive days",10079,"Carrier Routing Error - Return Gate 6","Carrier Routing Error - Return Gate 6","CONSECUTIVE",2
1002,382,20,"2","20/day - 2 consecutive days",10080,"Carrier Routing Error - Return Gate 7","Carrier Routing Error - Return Gate 7","CONSECUTIVE",2
1002,383,20,"2","20/day - 2 consecutive days",10081,"Carrier Routing Error - Return Gate 8","Carrier Routing Error - Return Gate 8","CONSECUTIVE",2
1002,384,20,"2","20/day - 2 consecutive days",10082,"Carrier Routing Error - RIM Divert","Carrier Routing Error - RIM Divert","CONSECUTIVE",2
1002,385,20,"2","20/day - 2 consecutive days",10083,"Carrier Routing Error - Sampling Gate 1","Carrier Routing Error - Sampling Gate 1","CONSECUTIVE",2
1002,386,20,"2","20/day - 2 consecutive days",10084,"Carrier Routing Error - Sampling Gate 2","Carrier Routing Error - Sampling Gate 2","CONSECUTIVE",2
1002,387,20,"2","20/day - 2 consecutive days",10085,"Carrier Routing Error - Sampling Gate 3","Carrier Routing Error - Sampling Gate 3","CONSECUTIVE",2
1002,388,20,"2","20/day - 2 consecutive days",10086,"Carrier Routing Error - Sampling Gate 4","Carrier Routing Error - Sampling Gate 4","CONSECUTIVE",2
1002,389,20,"2","20/day - 2 consecutive days",10087,"Carrier Routing Error - Sampling Gate 5","Carrier Routing Error - Sampling Gate 5","CONSECUTIVE",2
1002,390,20,"2","20/day - 2 consecutive days",10088,"Carrier Routing Error - Sampling Gate 6","Carrier Routing Error - Sampling Gate 6","CONSECUTIVE",2
1002,391,20,"2","20/day - 2 consecutive days",10089,"Carrier Routing Error - Sampling Gate 7","Carrier Routing Error - Sampling Gate 7","CONSECUTIVE",2
1002,392,20,"2","20/day - 2 consecutive days",10090,"Carrier Routing Error - Sampling Gate 8","Carrier Routing Error - Sampling Gate 8","CONSECUTIVE",2
1002,393,20,"2","20/day - 2 consecutive days",10091,"Carrier Routing Error - Storage Gate A","Carrier Routing Error - Storage Gate A","CONSECUTIVE",2
1002,394,20,"2","20/day - 2 consecutive days",10092,"Carrier Routing Error - Storage Gate B","Carrier Routing Error - Storage Gate B","CONSECUTIVE",2
1002,395,20,"2","20/day - 2 consecutive days",10093,"Carrier Routing Error - Storage Gate C","Carrier Routing Error - Storage Gate C","CONSECUTIVE",2
1002,396,20,"2","20/day - 2 consecutive days",10094,"Carrier Routing Error - Storage Gate D","Carrier Routing Error - Storage Gate D","CONSECUTIVE",2
1002,397,2,"2","2/day - 2 consecutive days",10095,"Centrifuge 2 Temperature Error","Centrifuge 2 Temperature Error","CONSECUTIVE",2
1002,398,4,"2","4/day - 2 consecutive days",10096,"Centrifuge 2: Error 28: Total Timeout Expired","Centrifuge 2: Error 28: Total Timeout Expired","CONSECUTIVE",2
1002,399,4,"2","4/day - 2 consecutive days",10097,"Centrifuge Robot 2: Error 21: Moving Fault - Axis 1","Centrifuge Robot 2: Error 21: Moving Fault - Axis 1","CONSECUTIVE",2
1002,400,4,"2","4/day - 2 consecutive days",10098,"Centrifuge Robot 2: Error 22: Moving Fault - Axis 2","Centrifuge Robot 2: Error 22: Moving Fault - Axis 2","CONSECUTIVE",2
1002,401,4,"2","4/day - 2 consecutive days",10099,"Centrifuge Robot 2: Error 23: Moving Fault - Axis 3","Centrifuge Robot 2: Error 23: Moving Fault - Axis 3","CONSECUTIVE",2
1002,402,4,"2","4/day - 2 consecutive days",10100,"Centrifuge Robot 2: Error 34: Axis 1 Homing Fault","Centrifuge Robot 2: Error 34: Axis 1 Homing Fault","CONSECUTIVE",2
1002,403,4,"2","4/day - 2 consecutive days",10101,"Centrifuge Robot 2: Error 35: Axis 2 Homing Fault","Centrifuge Robot 2: Error 35: Axis 2 Homing Fault","CONSECUTIVE",2
1002,404,4,"2","4/day - 2 consecutive days",10102,"Centrifuge Robot 2: Error 36: Axis 3 Homing Fault","Centrifuge Robot 2: Error 36: Axis 3 Homing Fault","CONSECUTIVE",2
1002,405,3,"2","3/day - 2 consecutive days",10103,"Centrifuge Robot 2: Error 41: Gripper Open Fault","Centrifuge Robot 2: Error 41: Gripper Open Fault","CONSECUTIVE",2
1002,406,3,"2","3/day - 2 consecutive days",10104,"Centrifuge Robot 2: Error 42: Gripper Close Fault","Centrifuge Robot 2: Error 42: Gripper Close Fault","CONSECUTIVE",2
1002,407,3,"2","3/day - 2 consecutive days",10105,"Centrifuge Robot 2: Error 48: Arm Limp","Centrifuge Robot 2: Error 48: Arm Limp","CONSECUTIVE",2
1002,408,3,"2","3/day - 2 consecutive days",10106,"Centrifuge Robot 2: Error 50: Tube Lost","Centrifuge Robot 2: Error 50: Tube Lost","CONSECUTIVE",2
1002,409,3,"2","3/day - 2 consecutive days",10107,"Centrifuge Robot 2: Error 51: Object found in Gripper","Centrifuge Robot 2: Error 51: Object found in Gripper","CONSECUTIVE",2
1002,410,4,"2","4/day - 2 consecutive days",10108,"Centrifuge Robot: Error 21: Moving Fault - Axis 1","Centrifuge Robot: Error 21: Moving Fault - Axis 1","CONSECUTIVE",2
1002,411,4,"2","4/day - 2 consecutive days",10109,"Centrifuge Robot: Error 22: Moving Fault - Axis 2","Centrifuge Robot: Error 22: Moving Fault - Axis 2","CONSECUTIVE",2
1002,412,4,"2","4/day - 2 consecutive days",10110,"Centrifuge Robot: Error 23: Moving Fault - Axis 3","Centrifuge Robot: Error 23: Moving Fault - Axis 3","CONSECUTIVE",2
1002,413,4,"2","4/day - 2 consecutive days",10111,"Centrifuge Robot: Error 34: Axis 1 Homing Fault","Centrifuge Robot: Error 34: Axis 1 Homing Fault","CONSECUTIVE",2
1002,414,4,"2","4/day - 2 consecutive days",10112,"Centrifuge Robot: Error 35: Axis 2 Homing Fault","Centrifuge Robot: Error 35: Axis 2 Homing Fault","CONSECUTIVE",2
1002,415,4,"2","4/day - 2 consecutive days",10113,"Centrifuge Robot: Error 36: Axis 3 Homing Fault","Centrifuge Robot: Error 36: Axis 3 Homing Fault","CONSECUTIVE",2
1002,416,3,"2","3/day - 2 consecutive days",10114,"Centrifuge Robot: Error 41: Gripper Open Fault","Centrifuge Robot: Error 41: Gripper Open Fault","CONSECUTIVE",2
1002,417,3,"2","3/day - 2 consecutive days",10115,"Centrifuge Robot: Error 42: Gripper Close Fault","Centrifuge Robot: Error 42: Gripper Close Fault","CONSECUTIVE",2
1002,418,3,"2","3/day - 2 consecutive days",10116,"Centrifuge Robot: Error 48: Arm Limp","Centrifuge Robot: Error 48: Arm Limp","CONSECUTIVE",2
1002,419,3,"2","3/day - 2 consecutive days",10117,"Centrifuge Robot: Error 50: Tube Lost","Centrifuge Robot: Error 50: Tube Lost","CONSECUTIVE",2
1002,420,3,"2","3/day - 2 consecutive days",10118,"Centrifuge Robot: Error 51: Object found in Gripper","Centrifuge Robot: Error 51: Object found in Gripper","CONSECUTIVE",2
1002,421,2,"2","2/day - 2 consecutive days",10119,"Centrifuge Temperature Error","Centrifuge Temperature Error","CONSECUTIVE",2
1002,422,4,"2","4/day - 2 consecutive days",10120,"Centrifuge: Error 28: Total Timeout Expired","Centrifuge: Error 28: Total Timeout Expired","CONSECUTIVE",2
1002,423,1,"2","1/day - 2 consecutive days",10121,"Decapper: Error 19: Grip/Release Cap Failure","Decapper: Error 19: Grip/Release Cap Failure","CONSECUTIVE",2
1002,424,1,"2","1/day - 2 consecutive days",10122,"Decapper: Error 20: Cap Drop Failure","Decapper: Error 20: Cap Drop Failure","CONSECUTIVE",2
1002,425,1,"2","1/day - 2 consecutive days",10123,"Decapper: Error 21: Head Up Failure","Decapper: Error 21: Head Up Failure","CONSECUTIVE",2
1002,426,1,"2","1/day - 2 consecutive days",10124,"Decapper: Error 22: Head Down Failure","Decapper: Error 22: Head Down Failure","CONSECUTIVE",2
1002,427,4,"2","4/day - 2 consecutive days",10125,"I/O Robot: Error 21: Moving Fault - Axis 1","I/O Robot: Error 21: Moving Fault - Axis 1","CONSECUTIVE",2
1002,428,4,"2","4/day - 2 consecutive days",10126,"I/O Robot: Error 22: Moving Fault - Axis 2","I/O Robot: Error 22: Moving Fault - Axis 2","CONSECUTIVE",2
1002,429,4,"2","4/day - 2 consecutive days",10127,"I/O Robot: Error 23: Moving Fault - Axis 3","I/O Robot: Error 23: Moving Fault - Axis 3","CONSECUTIVE",2
1002,430,4,"2","4/day - 2 consecutive days",10128,"I/O Robot: Error 34: Axis 1 Homing Fault","I/O Robot: Error 34: Axis 1 Homing Fault","CONSECUTIVE",2
1002,431,4,"2","4/day - 2 consecutive days",10129,"I/O Robot: Error 35: Axis 2 Homing Fault","I/O Robot: Error 35: Axis 2 Homing Fault","CONSECUTIVE",2
1002,432,4,"2","4/day - 2 consecutive days",10130,"I/O Robot: Error 36: Axis 3 Homing Fault","I/O Robot: Error 36: Axis 3 Homing Fault","CONSECUTIVE",2
1002,433,3,"2","3/day - 2 consecutive days",10131,"I/O Robot: Error 41: Gripper Open Fault","I/O Robot: Error 41: Gripper Open Fault","CONSECUTIVE",2
1002,434,3,"2","3/day - 2 consecutive days",10132,"I/O Robot: Error 42: Gripper Close Fault","I/O Robot: Error 42: Gripper Close Fault","CONSECUTIVE",2
1002,435,3,"2","3/day - 2 consecutive days",10133,"I/O Robot: Error 48: Arm Limp","I/O Robot: Error 48: Arm Limp","CONSECUTIVE",2
1002,436,3,"2","3/day - 2 consecutive days",10134,"I/O Robot: Error 50: Tube Lost","I/O Robot: Error 50: Tube Lost","CONSECUTIVE",2
1002,437,3,"2","3/day - 2 consecutive days",10135,"I/O Robot: Error 51: Object found in Gripper","I/O Robot: Error 51: Object found in Gripper","CONSECUTIVE",2
1002,438,1,"7","1/day, 3 days with errors in 1 week",10136,"LAS1: Error 101: Sample Presentation Error","LAS1: Error 101: Sample Presentation Error","DISCRETE",7
1002,439,1,"1","1/day",10137,"LAS1: Error 102: Sample Queue Error","LAS1: Error 102: Sample Queue Error","COUNT",1
1002,440,5,"2","5/day - 2 consecutive days",10138,"LAS1: Error 103: Carrier Missing","LAS1: Error 103: Carrier Missing","CONSECUTIVE",2
1002,441,5,"2","5/day - 2 consecutive days",10139,"LAS1: Error 113: Carrier not in list","LAS1: Error 113: Carrier not in list","CONSECUTIVE",2
1002,442,1.5,"2","1.5% BCR Error/day - 2 consecutive days",10140,"LAS1: Error 205: Unreadable Barcode and ""Interface Module Unreadable Barcode - ??????""","LAS1: Error 205: Unreadable Barcode and ""Interface Module Unreadable Barcode - ??????""","CONSECUTIVE",2
1002,443,2,"2","2/day - 2 consecutive days",10141,"LAS1: Error 301: Carrier Did Not Pass - Pass Error","LAS1: Error 301: Carrier Did Not Pass - Pass Error","CONSECUTIVE",2
1002,444,2,"2","2/day - 2 consecutive days",10142,"LAS1: Error 302: Carrier Did Not Pass - Divert Error","LAS1: Error 302: Carrier Did Not Pass - Divert Error","CONSECUTIVE",2
1002,445,2,"2","2/day - 2 consecutive days",10143,"LAS1: Error 311: Entry Gate Pass Error","LAS1: Error 311: Entry Gate Pass Error","CONSECUTIVE",2
1002,446,2,"2","2/day - 2 consecutive days",10144,"LAS1: Error 312: BCR Pass Error","LAS1: Error 312: BCR Pass Error","CONSECUTIVE",2
1002,447,2,"2","2/day - 2 consecutive days",10145,"LAS1: Error 317: Routine Input Gate Pass Error","LAS1: Error 317: Routine Input Gate Pass Error","CONSECUTIVE",2
1002,448,2,"2","2/day - 2 consecutive days",10146,"LAS1: Error 318: Priority Input Gate Pass Error","LAS1: Error 318: Priority Input Gate Pass Error","CONSECUTIVE",2
1002,449,2,"2","2/day - 2 consecutive days",10147,"LAS1: Error 325: Exit Divert Pass Error","LAS1: Error 325: Exit Divert Pass Error","CONSECUTIVE",2
1002,450,2,"2","2/day - 2 consecutive days",10148,"LAS1: Error 326: Piston Pass Error","LAS1: Error 326: Piston Pass Error","CONSECUTIVE",2
1002,451,2,"2","2/day - 2 consecutive days",10149,"LAS1: Error 327: Exit To Track Error","LAS1: Error 327: Exit To Track Error","CONSECUTIVE",2
1002,452,1,"7","1/day, 3 days with errors in 1 week",10150,"LAS2: Error 101: Sample Presentation Error","LAS2: Error 101: Sample Presentation Error","DISCRETE",7
