SQL Statement which produced this data:
  -- select * from SVC_PHM_OWNER.PHM_ALGORITHM_DEFINITIONS where algorithm_name like '%3600%'
  -- 
  -- A3600 algorithms have vn_ALG_NUM = 1040
  --
  -- CURSOR ALL_THRESHOLDS (vn_ALG_NUM    NUMBER)
  -- IS
  
  --     select 
  --         phm_patterns_sk phm_thresholds_sk,
  --         case when threshold_number is null 
  --              then 
  --                  9999
  --              else 
  --                  to_number (threshold_number)
  --              end threshold_number,
  --         case when threshold_number_unit is null 
  --              then 
  --                  9999
  --              else 
  --                  to_number (threshold_number_unit)
  --              end threshold_number_unit,
  --         threshold_number_desc,
  --         phm_patterns_sk phm_patterns_sk,
  --         phm_thresholds_sk as thresholds_sk_val,
  --         pattern_description,
  --         threshold_alert,
  --         algorithm_type as algorithm_type,
  --         case when threshold_data_days is null 
  --         then 
  --             9999
  --         else 
  --             to_number (threshold_data_days)
  --         end threshold_data_days,
  --         case when module_type = 'ALL' 
  --              then 
  --                  '%' 
  --              else 
  --                  module_type 
  --              end module_type
  --     from (
          select 
              tp.phm_patterns_sk,
              p.pattern_name as pattern_name,
              thr.phm_thresholds_sk,
              ihn.issue_description,
              tp.parameter_name,
              tp.parameter_values
          from 
              phm_threshold_parameter tp,
              phm_patterns p,
              (
                  select 
                      phm_patterns_sk, 
                      issue_description
                  from 
                      phm_algorithm_ihns pai
                  where 
                      pai.phm_algorithm_definitions_sk = 1040 -- vn_alg_num
              ) ihn,
              (
                  select 
                      phm_patterns_sk, 
                      phm_thresholds_sk
                  from 
                      phm_thresholds pt
                  where 
                      pt.phm_algorithm_definitions_sk = 1040 -- vn_alg_num
              ) thr
          where     
              tp.phm_patterns_sk = p.phm_patterns_sk
          and 
              nvl (tp.delete_flag, 'N') <> 'Y'
          and 
              tp.phm_d_algorithm_definitions_sk = 1040 -- vn_alg_num
          and 
              p.phm_patterns_sk = ihn.phm_patterns_sk
          and 
              p.phm_patterns_sk = thr.phm_patterns_sk
  --     ) pivot ( 
  --         max ( parameter_values )
  --         for 
  --             parameter_name
  --         in (
  --             'ALGORITHM_TYPE' as algorithm_type,
  --             'ERROR_CODE_VALUE' as pattern_description,
  --             'ERROR_COUNT' as threshold_number,
  --             'IHN_LEVEL3_DESC' as threshold_alert,
  --             'THRESHOLD_DATA_DAYS' as threshold_data_days,
  --             'THRESHOLDS_DAYS' as threshold_number_unit,
  --             'THRESHOLD_DESCRIPTION' as threshold_number_desc,
  --             'MODULE' as module_type
  --         )
  --     )
  --     order by 
  --         algorithm_type, 
  --         pattern_name;

PHM_PATTERNS_SK,PATTERN_NAME,PHM_THRESHOLDS_SK,ISSUE_DESCRIPTION,PARAMETER_NAME,PARAMETER_VALUES
214,"Cap Drop Sensor Error DCM 108B",176,,"IHN_LEVEL3_DESC","Cap Drop Sensor Error DCM 108B"
221,"Cap Waste Sensor Error DCM 1091",179,,"ERROR_CODE_VALUE","1091"
221,"Cap Waste Sensor Error DCM 1091",179,,"MODULE","DCM"
221,"Cap Waste Sensor Error DCM 1091",179,,"ERROR_COUNT","1"
221,"Cap Waste Sensor Error DCM 1091",179,,"THRESHOLD_DATA_DAYS","2"
221,"Cap Waste Sensor Error DCM 1091",179,,"THRESHOLDS_DAYS","2"
221,"Cap Waste Sensor Error DCM 1091",179,,"THRESHOLD_DESCRIPTION","1/day for 2 consecutive days"
221,"Cap Waste Sensor Error DCM 1091",179,,"ALGORITHM_TYPE","ERROR_COUNT"
221,"Cap Waste Sensor Error DCM 1091",179,,"IHN_LEVEL3_DESC","Cap Waste Sensor Error DCM 1091"
223,"Carrier At Barcode Reader Gate in Incorrect Status ISR 500C",158,,"ERROR_CODE_VALUE","500C"
223,"Carrier At Barcode Reader Gate in Incorrect Status ISR 500C",158,,"MODULE","ISR"
223,"Carrier At Barcode Reader Gate in Incorrect Status ISR 500C",158,,"ERROR_COUNT","2"
223,"Carrier At Barcode Reader Gate in Incorrect Status ISR 500C",158,,"THRESHOLD_DATA_DAYS","2"
223,"Carrier At Barcode Reader Gate in Incorrect Status ISR 500C",158,,"THRESHOLDS_DAYS","2"
223,"Carrier At Barcode Reader Gate in Incorrect Status ISR 500C",158,,"THRESHOLD_DESCRIPTION","2/day for 2 consecutive days"
223,"Carrier At Barcode Reader Gate in Incorrect Status ISR 500C",158,,"ALGORITHM_TYPE","ERROR_COUNT"
223,"Carrier At Barcode Reader Gate in Incorrect Status ISR 500C",158,,"IHN_LEVEL3_DESC","Carrier At Barcode Reader Gate in Incorrect Status ISR 500C"
227,"Carrier At Divert Gate in Incorrect Status ISR 500A",156,,"ERROR_CODE_VALUE","500A"
227,"Carrier At Divert Gate in Incorrect Status ISR 500A",156,,"MODULE","ISR"
227,"Carrier At Divert Gate in Incorrect Status ISR 500A",156,,"ERROR_COUNT","2"
227,"Carrier At Divert Gate in Incorrect Status ISR 500A",156,,"THRESHOLD_DATA_DAYS","2"
227,"Carrier At Divert Gate in Incorrect Status ISR 500A",156,,"THRESHOLDS_DAYS","2"
227,"Carrier At Divert Gate in Incorrect Status ISR 500A",156,,"THRESHOLD_DESCRIPTION","2/day for 2 consecutive days"
227,"Carrier At Divert Gate in Incorrect Status ISR 500A",156,,"ALGORITHM_TYPE","ERROR_COUNT"
227,"Carrier At Divert Gate in Incorrect Status ISR 500A",156,,"IHN_LEVEL3_DESC","Carrier At Divert Gate in Incorrect Status ISR 500A"
235,"Carrier At Output Gate in Incorrect Status ISR 5010",138,,"ERROR_CODE_VALUE","5010"
235,"Carrier At Output Gate in Incorrect Status ISR 5010",138,,"MODULE","ISR"
235,"Carrier At Output Gate in Incorrect Status ISR 5010",138,,"ERROR_COUNT","2"
235,"Carrier At Output Gate in Incorrect Status ISR 5010",138,,"THRESHOLD_DATA_DAYS","2"
235,"Carrier At Output Gate in Incorrect Status ISR 5010",138,,"THRESHOLDS_DAYS","2"
235,"Carrier At Output Gate in Incorrect Status ISR 5010",138,,"THRESHOLD_DESCRIPTION","2/day for 2 consecutive days"
235,"Carrier At Output Gate in Incorrect Status ISR 5010",138,,"ALGORITHM_TYPE","ERROR_COUNT"
235,"Carrier At Output Gate in Incorrect Status ISR 5010",138,,"IHN_LEVEL3_DESC","Carrier At Output Gate in Incorrect Status ISR 5010"
238,"Carrier At Prepare Gate in Incorrect Status ISR 500B",230,,"ERROR_CODE_VALUE","500B"
238,"Carrier At Prepare Gate in Incorrect Status ISR 500B",230,,"MODULE","ISR"
238,"Carrier At Prepare Gate in Incorrect Status ISR 500B",230,,"ERROR_COUNT","2"
238,"Carrier At Prepare Gate in Incorrect Status ISR 500B",230,,"THRESHOLD_DATA_DAYS","2"
238,"Carrier At Prepare Gate in Incorrect Status ISR 500B",230,,"THRESHOLDS_DAYS","2"
238,"Carrier At Prepare Gate in Incorrect Status ISR 500B",230,,"THRESHOLD_DESCRIPTION","2/day for 2 consecutive days"
238,"Carrier At Prepare Gate in Incorrect Status ISR 500B",230,,"ALGORITHM_TYPE","ERROR_COUNT"
238,"Carrier At Prepare Gate in Incorrect Status ISR 500B",230,,"IHN_LEVEL3_DESC","Carrier At Prepare Gate in Incorrect Status ISR 500B"
241,"Carrier At Return Gate in Incorrect Status ISR 500F",145,,"ERROR_CODE_VALUE","500F"
241,"Carrier At Return Gate in Incorrect Status ISR 500F",145,,"MODULE","ISR"
241,"Carrier At Return Gate in Incorrect Status ISR 500F",145,,"ERROR_COUNT","2"
241,"Carrier At Return Gate in Incorrect Status ISR 500F",145,,"THRESHOLD_DATA_DAYS","2"
241,"Carrier At Return Gate in Incorrect Status ISR 500F",145,,"THRESHOLDS_DAYS","2"
241,"Carrier At Return Gate in Incorrect Status ISR 500F",145,,"THRESHOLD_DESCRIPTION","2/day for 2 consecutive days"
241,"Carrier At Return Gate in Incorrect Status ISR 500F",145,,"ALGORITHM_TYPE","ERROR_COUNT"
241,"Carrier At Return Gate in Incorrect Status ISR 500F",145,,"IHN_LEVEL3_DESC","Carrier At Return Gate in Incorrect Status ISR 500F"
242,"Carrier At Routine Gate in Incorrect Status ISR 500E",149,,"ERROR_CODE_VALUE","500E"
242,"Carrier At Routine Gate in Incorrect Status ISR 500E",149,,"MODULE","ISR"
242,"Carrier At Routine Gate in Incorrect Status ISR 500E",149,,"ERROR_COUNT","2"
242,"Carrier At Routine Gate in Incorrect Status ISR 500E",149,,"THRESHOLD_DATA_DAYS","2"
242,"Carrier At Routine Gate in Incorrect Status ISR 500E",149,,"THRESHOLDS_DAYS","2"
242,"Carrier At Routine Gate in Incorrect Status ISR 500E",149,,"THRESHOLD_DESCRIPTION","2/day for 2 consecutive days"
242,"Carrier At Routine Gate in Incorrect Status ISR 500E",149,,"ALGORITHM_TYPE","ERROR_COUNT"
242,"Carrier At Routine Gate in Incorrect Status ISR 500E",149,,"IHN_LEVEL3_DESC","Carrier At Routine Gate in Incorrect Status ISR 500E"
245,"Carrier At Routine Input Gate in Incorrect Status ISR 5011",151,,"ERROR_CODE_VALUE","5011"
245,"Carrier At Routine Input Gate in Incorrect Status ISR 5011",151,,"MODULE","ISR"
245,"Carrier At Routine Input Gate in Incorrect Status ISR 5011",151,,"ERROR_COUNT","2"
245,"Carrier At Routine Input Gate in Incorrect Status ISR 5011",151,,"THRESHOLD_DATA_DAYS","2"
245,"Carrier At Routine Input Gate in Incorrect Status ISR 5011",151,,"THRESHOLDS_DAYS","2"
245,"Carrier At Routine Input Gate in Incorrect Status ISR 5011",151,,"THRESHOLD_DESCRIPTION","2/day for 2 consecutive days"
245,"Carrier At Routine Input Gate in Incorrect Status ISR 5011",151,,"ALGORITHM_TYPE","ERROR_COUNT"
245,"Carrier At Routine Input Gate in Incorrect Status ISR 5011",151,,"IHN_LEVEL3_DESC","Carrier At Routine Input Gate in Incorrect Status ISR 5011"
248,"Carrier At STAT Gate in Incorrect Status ISR 500D",154,,"ERROR_CODE_VALUE","500D"
248,"Carrier At STAT Gate in Incorrect Status ISR 500D",154,,"MODULE","ISR"
248,"Carrier At STAT Gate in Incorrect Status ISR 500D",154,,"ERROR_COUNT","2"
248,"Carrier At STAT Gate in Incorrect Status ISR 500D",154,,"THRESHOLD_DATA_DAYS","2"
248,"Carrier At STAT Gate in Incorrect Status ISR 500D",154,,"THRESHOLDS_DAYS","2"
248,"Carrier At STAT Gate in Incorrect Status ISR 500D",154,,"THRESHOLD_DESCRIPTION","2/day for 2 consecutive days"
248,"Carrier At STAT Gate in Incorrect Status ISR 500D",154,,"ALGORITHM_TYPE","ERROR_COUNT"
248,"Carrier At STAT Gate in Incorrect Status ISR 500D",154,,"IHN_LEVEL3_DESC","Carrier At STAT Gate in Incorrect Status ISR 500D"
84,"Carrier At STAT Input Gate in Incorrect Status ISR 5012",86,,"ERROR_CODE_VALUE","5012"
84,"Carrier At STAT Input Gate in Incorrect Status ISR 5012",86,,"MODULE","ISR"
84,"Carrier At STAT Input Gate in Incorrect Status ISR 5012",86,,"ERROR_COUNT","2"
84,"Carrier At STAT Input Gate in Incorrect Status ISR 5012",86,,"THRESHOLD_DATA_DAYS","2"
84,"Carrier At STAT Input Gate in Incorrect Status ISR 5012",86,,"THRESHOLDS_DAYS","2"
84,"Carrier At STAT Input Gate in Incorrect Status ISR 5012",86,,"THRESHOLD_DESCRIPTION","2/day for 2 consecutive days"
84,"Carrier At STAT Input Gate in Incorrect Status ISR 5012",86,,"ALGORITHM_TYPE","ERROR_COUNT"
84,"Carrier At STAT Input Gate in Incorrect Status ISR 5012",86,,"IHN_LEVEL3_DESC","Carrier At STAT Input Gate in Incorrect Status ISR 5012"
85,"Carrier Not Arrived at Barcode Reader Gate from Prepare Gate ISR 501E",89,,"ERROR_CODE_VALUE","501E"
85,"Carrier Not Arrived at Barcode Reader Gate from Prepare Gate ISR 501E",89,,"MODULE","ISR"
85,"Carrier Not Arrived at Barcode Reader Gate from Prepare Gate ISR 501E",89,,"ERROR_COUNT","2"
85,"Carrier Not Arrived at Barcode Reader Gate from Prepare Gate ISR 501E",89,,"THRESHOLD_DATA_DAYS","2"
85,"Carrier Not Arrived at Barcode Reader Gate from Prepare Gate ISR 501E",89,,"THRESHOLDS_DAYS","2"
85,"Carrier Not Arrived at Barcode Reader Gate from Prepare Gate ISR 501E",89,,"THRESHOLD_DESCRIPTION","2/day for 2 consecutive days"
85,"Carrier Not Arrived at Barcode Reader Gate from Prepare Gate ISR 501E",89,,"ALGORITHM_TYPE","ERROR_COUNT"
85,"Carrier Not Arrived at Barcode Reader Gate from Prepare Gate ISR 501E",89,,"IHN_LEVEL3_DESC","Carrier Not Arrived at Barcode Reader Gate from Prepare Gate ISR 501E"
86,"Carrier Not Arrived at Barcode Reader Gate from Priority Input Gate ISR 5020",92,,"ERROR_CODE_VALUE","5020"
86,"Carrier Not Arrived at Barcode Reader Gate from Priority Input Gate ISR 5020",92,,"MODULE","ISR"
86,"Carrier Not Arrived at Barcode Reader Gate from Priority Input Gate ISR 5020",92,,"ERROR_COUNT","2"
86,"Carrier Not Arrived at Barcode Reader Gate from Priority Input Gate ISR 5020",92,,"THRESHOLD_DATA_DAYS","2"
86,"Carrier Not Arrived at Barcode Reader Gate from Priority Input Gate ISR 5020",92,,"THRESHOLDS_DAYS","2"
86,"Carrier Not Arrived at Barcode Reader Gate from Priority Input Gate ISR 5020",92,,"THRESHOLD_DESCRIPTION","2/day for 2 consecutive days"
86,"Carrier Not Arrived at Barcode Reader Gate from Priority Input Gate ISR 5020",92,,"ALGORITHM_TYPE","ERROR_COUNT"
86,"Carrier Not Arrived at Barcode Reader Gate from Priority Input Gate ISR 5020",92,,"IHN_LEVEL3_DESC","Carrier Not Arrived at Barcode Reader Gate from Priority Input Gate ISR 5020"
87,"Carrier Not Arrived at Barcode Reader Gate from Return Gate ISR 501F",95,,"ERROR_CODE_VALUE","501F"
87,"Carrier Not Arrived at Barcode Reader Gate from Return Gate ISR 501F",95,,"MODULE","ISR"
87,"Carrier Not Arrived at Barcode Reader Gate from Return Gate ISR 501F",95,,"ERROR_COUNT","2"
87,"Carrier Not Arrived at Barcode Reader Gate from Return Gate ISR 501F",95,,"THRESHOLD_DATA_DAYS","2"
87,"Carrier Not Arrived at Barcode Reader Gate from Return Gate ISR 501F",95,,"THRESHOLDS_DAYS","2"
87,"Carrier Not Arrived at Barcode Reader Gate from Return Gate ISR 501F",95,,"THRESHOLD_DESCRIPTION","2/day for 2 consecutive days"
87,"Carrier Not Arrived at Barcode Reader Gate from Return Gate ISR 501F",95,,"ALGORITHM_TYPE","ERROR_COUNT"
87,"Carrier Not Arrived at Barcode Reader Gate from Return Gate ISR 501F",95,,"IHN_LEVEL3_DESC","Carrier Not Arrived at Barcode Reader Gate from Return Gate ISR 501F"
89,"Carrier Not Arrived at Output Gate from Return Gate ISR 5013",102,,"ERROR_CODE_VALUE","5013"
89,"Carrier Not Arrived at Output Gate from Return Gate ISR 5013",102,,"MODULE","ISR"
89,"Carrier Not Arrived at Output Gate from Return Gate ISR 5013",102,,"ERROR_COUNT","2"
89,"Carrier Not Arrived at Output Gate from Return Gate ISR 5013",102,,"THRESHOLD_DATA_DAYS","2"
89,"Carrier Not Arrived at Output Gate from Return Gate ISR 5013",102,,"THRESHOLDS_DAYS","2"
89,"Carrier Not Arrived at Output Gate from Return Gate ISR 5013",102,,"THRESHOLD_DESCRIPTION","2/day for 2 consecutive days"
89,"Carrier Not Arrived at Output Gate from Return Gate ISR 5013",102,,"ALGORITHM_TYPE","ERROR_COUNT"
89,"Carrier Not Arrived at Output Gate from Return Gate ISR 5013",102,,"IHN_LEVEL3_DESC","Carrier Not Arrived at Output Gate from Return Gate ISR 5013"
91,"Carrier Not Arrived at Output Gate from STAT Input Gate ISR 5014",109,,"ERROR_CODE_VALUE","5014"
91,"Carrier Not Arrived at Output Gate from STAT Input Gate ISR 5014",109,,"MODULE","ISR"
91,"Carrier Not Arrived at Output Gate from STAT Input Gate ISR 5014",109,,"ERROR_COUNT","2"
91,"Carrier Not Arrived at Output Gate from STAT Input Gate ISR 5014",109,,"THRESHOLD_DATA_DAYS","2"
91,"Carrier Not Arrived at Output Gate from STAT Input Gate ISR 5014",109,,"THRESHOLDS_DAYS","2"
91,"Carrier Not Arrived at Output Gate from STAT Input Gate ISR 5014",109,,"THRESHOLD_DESCRIPTION","2/day for 2 consecutive days"
91,"Carrier Not Arrived at Output Gate from STAT Input Gate ISR 5014",109,,"ALGORITHM_TYPE","ERROR_COUNT"
91,"Carrier Not Arrived at Output Gate from STAT Input Gate ISR 5014",109,,"IHN_LEVEL3_DESC","Carrier Not Arrived at Output Gate from STAT Input Gate ISR 5014"
94,"Carrier Not Released on Track from Return Gate ISR 5022",113,,"ERROR_CODE_VALUE","5022"
94,"Carrier Not Released on Track from Return Gate ISR 5022",113,,"MODULE","ISR"
94,"Carrier Not Released on Track from Return Gate ISR 5022",113,,"ERROR_COUNT","2"
94,"Carrier Not Released on Track from Return Gate ISR 5022",113,,"THRESHOLD_DATA_DAYS","2"
94,"Carrier Not Released on Track from Return Gate ISR 5022",113,,"THRESHOLDS_DAYS","2"
94,"Carrier Not Released on Track from Return Gate ISR 5022",113,,"THRESHOLD_DESCRIPTION","2/day for 2 consecutive days"
94,"Carrier Not Released on Track from Return Gate ISR 5022",113,,"ALGORITHM_TYPE","ERROR_COUNT"
94,"Carrier Not Released on Track from Return Gate ISR 5022",113,,"IHN_LEVEL3_DESC","Carrier Not Released on Track from Return Gate ISR 5022"
99,"Carrier Not Released on Track from STAT Input Gate ISR 5023",115,,"ERROR_CODE_VALUE","5023"
99,"Carrier Not Released on Track from STAT Input Gate ISR 5023",115,,"MODULE","ISR"
99,"Carrier Not Released on Track from STAT Input Gate ISR 5023",115,,"ERROR_COUNT","2"
99,"Carrier Not Released on Track from STAT Input Gate ISR 5023",115,,"THRESHOLD_DATA_DAYS","2"
99,"Carrier Not Released on Track from STAT Input Gate ISR 5023",115,,"THRESHOLDS_DAYS","2"
99,"Carrier Not Released on Track from STAT Input Gate ISR 5023",115,,"THRESHOLD_DESCRIPTION","5/day for 2 consecutive days"
99,"Carrier Not Released on Track from STAT Input Gate ISR 5023",115,,"ALGORITHM_TYPE","ERROR_COUNT"
99,"Carrier Not Released on Track from STAT Input Gate ISR 5023",115,,"IHN_LEVEL3_DESC","Carrier Not Released on Track from STAT Input Gate ISR 5023"
102,"Carrier Run Away from Barcode Reader Gate ISR 5003",117,,"ERROR_CODE_VALUE","5003"
102,"Carrier Run Away from Barcode Reader Gate ISR 5003",117,,"MODULE","ISR"
102,"Carrier Run Away from Barcode Reader Gate ISR 5003",117,,"ERROR_COUNT","5"
102,"Carrier Run Away from Barcode Reader Gate ISR 5003",117,,"THRESHOLD_DATA_DAYS","2"
102,"Carrier Run Away from Barcode Reader Gate ISR 5003",117,,"THRESHOLDS_DAYS","2"
102,"Carrier Run Away from Barcode Reader Gate ISR 5003",117,,"THRESHOLD_DESCRIPTION","5/day for 2 consecutive days"
102,"Carrier Run Away from Barcode Reader Gate ISR 5003",117,,"ALGORITHM_TYPE","ERROR_COUNT"
102,"Carrier Run Away from Barcode Reader Gate ISR 5003",117,,"IHN_LEVEL3_DESC","Carrier Run Away from Barcode Reader Gate ISR 5003"
107,"Carrier Run Away from Divert Gate ISR 5001",118,,"ERROR_CODE_VALUE","5001"
107,"Carrier Run Away from Divert Gate ISR 5001",118,,"MODULE","ISR"
107,"Carrier Run Away from Divert Gate ISR 5001",118,,"ERROR_COUNT","5"
107,"Carrier Run Away from Divert Gate ISR 5001",118,,"THRESHOLD_DATA_DAYS","2"
107,"Carrier Run Away from Divert Gate ISR 5001",118,,"THRESHOLDS_DAYS","2"
107,"Carrier Run Away from Divert Gate ISR 5001",118,,"THRESHOLD_DESCRIPTION","5/day for 2 consecutive days"
107,"Carrier Run Away from Divert Gate ISR 5001",118,,"ALGORITHM_TYPE","ERROR_COUNT"
107,"Carrier Run Away from Divert Gate ISR 5001",118,,"IHN_LEVEL3_DESC","Carrier Run Away from Divert Gate ISR 5001"
112,"Carrier Run Away from Output Gate ISR 5007",121,,"ERROR_CODE_VALUE","5007"
112,"Carrier Run Away from Output Gate ISR 5007",121,,"MODULE","ISR"
112,"Carrier Run Away from Output Gate ISR 5007",121,,"ERROR_COUNT","5"
112,"Carrier Run Away from Output Gate ISR 5007",121,,"THRESHOLD_DATA_DAYS","2"
112,"Carrier Run Away from Output Gate ISR 5007",121,,"THRESHOLDS_DAYS","2"
112,"Carrier Run Away from Output Gate ISR 5007",121,,"THRESHOLD_DESCRIPTION","2/day for 2 consecutive days"
112,"Carrier Run Away from Output Gate ISR 5007",121,,"ALGORITHM_TYPE","ERROR_COUNT"
112,"Carrier Run Away from Output Gate ISR 5007",121,,"IHN_LEVEL3_DESC","Carrier Run Away from Output Gate ISR 5007"
117,"Carrier Run Away from Prepare Gate ISR 5002",125,,"ERROR_CODE_VALUE","5002"
117,"Carrier Run Away from Prepare Gate ISR 5002",125,,"MODULE","ISM"
117,"Carrier Run Away from Prepare Gate ISR 5002",125,,"ERROR_COUNT","5"
117,"Carrier Run Away from Prepare Gate ISR 5002",125,,"THRESHOLD_DATA_DAYS","2"
117,"Carrier Run Away from Prepare Gate ISR 5002",125,,"THRESHOLDS_DAYS","2"
117,"Carrier Run Away from Prepare Gate ISR 5002",125,,"THRESHOLD_DESCRIPTION","5/day for 2 consecutive days"
117,"Carrier Run Away from Prepare Gate ISR 5002",125,,"ALGORITHM_TYPE","ERROR_COUNT"
117,"Carrier Run Away from Prepare Gate ISR 5002",125,,"IHN_LEVEL3_DESC","Carrier Run Away from Prepare Gate ISR 5002"
121,"Carrier Run Away from Priority Input Gate ISR 5009",127,,"ERROR_CODE_VALUE","5009"
121,"Carrier Run Away from Priority Input Gate ISR 5009",127,,"MODULE","ISR"
121,"Carrier Run Away from Priority Input Gate ISR 5009",127,,"ERROR_COUNT","5"
121,"Carrier Run Away from Priority Input Gate ISR 5009",127,,"THRESHOLD_DATA_DAYS","2"
121,"Carrier Run Away from Priority Input Gate ISR 5009",127,,"THRESHOLDS_DAYS","2"
121,"Carrier Run Away from Priority Input Gate ISR 5009",127,,"THRESHOLD_DESCRIPTION","5/day for 2 consecutive days"
121,"Carrier Run Away from Priority Input Gate ISR 5009",127,,"ALGORITHM_TYPE","ERROR_COUNT"
121,"Carrier Run Away from Priority Input Gate ISR 5009",127,,"IHN_LEVEL3_DESC","Carrier Run Away from Priority Input Gate ISR 5009"
