"ALGORITHM_NAME","PHM_PATTERNS_SK","PARAMETER_NAME","PARAMETER_VALUE","PHM_PATTERNS_SK_DUP"
"Carrier Not Arrived at Barcode Reader Gate from Priority Input Gate ISR 5020",86,"THRESHOLD_DESCRIPTION","2/day for 2 consecutive days",86
"Not Arrived at Barcode Reader Gate from Priority Input Gate ISR 5020",86,"THRESHOLDS_DAYS","2",86
"Carrier Not Arrived at Barcode Reader Gate from Priority Input Gate ISR 5020",86,"THRESHOLD_DATA_DAYS","2",86
"Carrier Not Arrived at Barcode Reader Gate from Return Gate ISR 501F",87,"MODULE","ISR",87
"Carrier Not Arrived at Barcode Reader Gate from Return Gate ISR 501F",87,"ERROR_CODE_VALUE","501F",87
"Carrier Not Arrived at Barcode Reader Gate from Return Gate ISR 501F",87,"IHN_LEVEL3_DESC","Carrier Not Arrived at Barcode Reader Gate from Return Gate ISR 501F",87
"Carrier Not Arrived at Barcode Reader Gate from Return Gate ISR 501F",87,"ALGORITHM_TYPE","ERROR_COUNT",87
"Carrier Not Arrived at Barcode Reader Gate from Return Gate ISR 501F",87,"ERROR_COUNT","2",87
"Carrier Not Arrived at Barcode Reader Gate from Return Gate ISR 501F",87,"THRESHOLD_DESCRIPTION","2/day for 2 consecutive days",87
"Carrier Not Arrived at Barcode Reader Gate from Return Gate ISR 501F",87,"THRESHOLDS_DAYS","2",87
"Carrier Not Arrived at Barcode Reader Gate from Return Gate ISR 501F",87,"THRESHOLD_DATA_DAYS","2",87
