PHM_ALGORITHM_ROUTINE_SK,PHM_PATTERNS_SK,PHM_PRODUCT_ROUTINE_SK,PHM_REUSABLE_ROUTINE_SK,ROUTINE_TYPE,ROUTINE_NAME,ROUTINE_DESCRIPTION,RUN_MODE,ROUTINE_FILE_NAME,ROUTINE_INVOKE_COMMAND,MIME_TYPE,REQUEST_DEPLOY,LAST_DEPLOYED_DATE,REQUESTED_USER,PROCEDURE_SOURCE,DEPLOYED_USER,DEPLOYMENT_LOG,DEPLOYED_DATE,DEPLOYMENT_STATUS,LAST_DEPLOYMENT_STATUS,ENABLE_YN,DELETE_FLAG,APP_AUDITS_CREATE_USER,APP_AUDITS_CREATE_DATE,APP_AUDITS_MODIFY_USER,APP_AUDITS_MODIFY_DATE
5170,199,,,,"Axes X And Y Moving Fault Recovery has Failed IOM 049F","IOM:049F","Batch",,,,,,,"Define New Routine",,,,,,"N","N","PRAKAJX4","10/9/2016 12:09:00.000000 PM","CHANDSN","11/23/2016 6:03:12.000000 AM"
5172,207,,,,"Axes X And Y Moving Fault Recovery has Failed SRM 0E9F","SRM:0E9F","Batch",,,,,,,"Define New Routine",,,,,,"N","N","PRAKAJX4","10/9/2016 12:10:47.000000 PM","CHANDSN","11/23/2016 7:02:30.000000 AM"
5174,212,,,,"Axis Moving Fault Recovery Has Failed RIM 0B9C","RIM:0B9C","Batch",,,,,,,"Define New Routine",,,,,,"N","N","PRAKAJX4","10/9/2016 12:12:33.000000 PM","CHANDSN","11/23/2016 7:19:11.000000 AM"
5176,217,,,,"Axis Moving Fault Recovery Has Failed ROM 0D98","ROM:0D98","Batch",,,,,,,"Define New Routine",,,,,,"N","N","PRAKAJX4","10/9/2016 12:14:28.000000 PM","CHANDSN","11/23/2016 5:59:26.000000 AM"
5178,226,,,,"Axis X Moving Fault Recovery has Failed CM 069E","CM:069E","Batch",,,,,,,"Define New Routine",,,,,,"N","N","PRAKAJX4","10/9/2016 12:16:06.000000 PM","CHANDSN","11/23/2016 6:10:24.000000 AM"
8316,20531,5260,,"Oracle Procedure","Alinity CI RSM Pick and Load","To implement a Predictive Health Notification (PHN) for ALINITY ci Analyzers that will detect Reagent and Sample Manager (RSM) Pick and Load issues before the customer experiences transport issues.","Batch","PHM_ICQ_RSM_Pick_Load_PROC.sql","PHM_ICQ_RSM_Pick_Load_PROC","application/octet-stream",,"7/6/2019 9:43:00.000000 PM",,"Define New Routine","LIJX8","Success","7/14/2019 8:38:01.000000 PM","Success","Success","N","N","LIJX8","6/24/2019 9:55:02.000000 AM","LIJX8","8/15/2019 4:32:18.000000 PM"
7495,20231,5122,,"Oracle Procedure","Alinity IA Vacuum Leak","To detect leaks in the vacuum assembly.","Batch","PHM_ICQ_Vacuum_Leak_PROC.sql","PHM_ICQ_Vacuum_Leak_PROC","application/octet-stream",,,,"Define New Routine","CHANDSN","Success","7/24/2018 12:16:32.000000 PM","Success",,"Y","N","CHANDSN","7/24/2018 12:07:45.000000 PM","CHANDSN","7/24/2018 12:18:53.000000 PM"
7504,20232,5122,,"Oracle Procedure","Alinity IA Vacuum Pump","To detect reduced vacuum pump performance caused by vacuum pump valve issues.","Batch","PHM_ICQ_Vacuum_Pump_PROC.sql","PHM_ICQ_Vacuum_Pump_PROC","application/octet-stream",,,,"Define New Routine","CHANDSN","Success","7/24/2018 12:41:49.000000 PM","Success",,"Y","N","CHANDSN","7/24/2018 12:37:11.000000 PM","CHANDSN","7/24/2018 12:42:02.000000 PM"
6992,20004,5020,7640,"Oracle Procedure","APA_3000_RV Carousel_RV1","APA_3000_RV Carousel_RV1","Real Time",,"PHM_APA_IA_GROUP_ALGORITHM",,,,,"Use Reusable Group Routine","KHANDMX5","Success","10/5/2018 2:12:01.000000 PM","Success",,"Y","N","SVC_PHM_CONNECT","3/29/2018 1:59:43.000000 PM","LIJX8","2/25/2019 6:03:50.000000 PM"
7000,20012,5020,7640,"Oracle Procedure","APA_3050_RV Carousel_Sample Pipettor at RV24","APA_3050_RV Carousel_Sample Pipettor at RV24","Real Time",,,,,,,"Use Reusable Group Routine",,,,,,"Y","N","SVC_PHM_CONNECT","3/29/2018 1:59:56.000000 PM","SYS","10/5/2018 2:22:28.000000 PM"
7020,20031,5020,7640,"Oracle Procedure","APA_3350_R1 Pipettor at Reagent Carousel","APA_3350_R1 Pipettor at Reagent Carousel","Real Time",,,,,,,"Use Reusable Group Routine",,,,,,"Y","N","SVC_PHM_CONNECT","3/29/2018 2:00:33.000000 PM","SYS","10/5/2018 2:22:28.000000 PM"
7022,20033,5020,7640,"Oracle Procedure","APA_3350_R2 Pipettor at Reagent Carousel","APA_3350_R2 Pipettor at Reagent Carousel","Real Time",,,,,,,"Use Reusable Group Routine",,,,,,"Y","N","SVC_PHM_CONNECT","3/29/2018 2:00:36.000000 PM","SYS","10/5/2018 2:22:28.000000 PM"
7033,20044,5020,7640,"Oracle Procedure","APA_5101_Vortexer 1","APA_5101_Vortexer 1","Real Time",,,,,,,"Use Reusable Group Routine",,,,,,"Y","N","SVC_PHM_CONNECT","3/29/2018 2:01:05.000000 PM","SYS","10/5/2018 2:22:28.000000 PM"
7034,20045,5020,7640,"Oracle Procedure","APA_5101_Vortexer 2","APA_5101_Vortexer 2","Real Time",,,,,,,"Use Reusable Group Routine",,,,,,"Y","N","SVC_PHM_CONNECT","3/29/2018 2:01:08.000000 PM","SYS","10/5/2018 2:22:28.000000 PM"
7041,20052,5020,7640,"Oracle Procedure","APA_5105_Vortexer 1","APA_5105_Vortexer 1","Real Time",,,,,,,"Use Reusable Group Routine",,,,,,"Y","N","SVC_PHM_CONNECT","3/29/2018 2:01:28.000000 PM","SYS","10/5/2018 2:22:28.000000 PM"
7042,20053,5020,7640,"Oracle Procedure","APA_5105_Vortexer 2","APA_5105_Vortexer 2","Real Time",,,,,,,"Use Reusable Group Routine",,,,,,"Y","N","SVC_PHM_CONNECT","3/29/2018 2:01:30.000000 PM","SYS","10/5/2018 2:22:28.000000 PM"
7044,20055,5020,7640,"Oracle Procedure","APA_5200_RV Transport Sensor board","APA_5200_RV Transport Sensor board","Real Time",,,,,,,"Use Reusable Group Routine",,,,,,"Y","N","SVC_PHM_CONNECT","3/29/2018 2:01:34.000000 PM","SYS","10/5/2018 2:22:28.000000 PM"
7045,20056,5020,7640,"Oracle Procedure","APA_5202_RV Transport Sensor board","APA_5202_RV Transport Sensor board","Real Time",,,,,,,"Use Reusable Group Routine",,,,,,"Y","N","SVC_PHM_CONNECT","3/29/2018 2:01:36.000000 PM","SYS","10/5/2018 2:22:28.000000 PM"
7046,20057,5020,7640,"Oracle Procedure","APA_5204_RV Transport Sensor board","APA_5204_RV Transport Sensor board","Real Time",,,,,,,"Use Reusable Group Routine",,,,,,"Y","N","SVC_PHM_CONNECT","3/29/2018 2:01:38.000000 PM","SYS","10/5/2018 2:22:28.000000 PM"
7047,20058,5020,7640,"Oracle Procedure","APA_5205_RV Transport Sensor board","APA_5205_RV Transport Sensor board","Real Time",,,,,,,"Use Reusable Group Routine",,,,,,"Y","N","SVC_PHM_CONNECT","3/29/2018 2:01:40.000000 PM","SYS","10/5/2018 2:22:28.000000 PM"
7048,20059,5020,7640,"Oracle Procedure","APA_5207_RV Transport Sensor board","APA_5207_RV Transport Sensor board","Real Time",,,,,,,"Use Reusable Group Routine",,,,,,"Y","N","SVC_PHM_CONNECT","3/29/2018 2:01:43.000000 PM","SYS","10/5/2018 2:22:28.000000 PM"
7050,20061,5020,7640,"Oracle Procedure","APA_5209_RV Transport Sensor board","APA_5209_RV Transport Sensor board","Real Time",,,,,,,"Use Reusable Group Routine",,,,,,"Y","N","SVC_PHM_CONNECT","3/29/2018 2:01:46.000000 PM","SYS","10/5/2018 2:22:28.000000 PM"
7060,20071,5020,7640,"Oracle Procedure","APA_5404_Load Transfer Arm","APA_5404_Load Transfer Arm","Real Time",,,,,,,"Use Reusable Group Routine",,,,,,"Y","N","SVC_PHM_CONNECT","3/29/2018 2:02:03.000000 PM","SYS","10/5/2018 2:22:28.000000 PM"
7062,20073,5020,7640,"Oracle Procedure","APA_5404_Shutter","APA_5404_Shutter","Real Time",,,,,,,"Use Reusable Group Routine",,,,,,"Y","N","SVC_PHM_CONNECT","3/29/2018 2:02:05.000000 PM","SYS","10/5/2018 2:22:28.000000 PM"
7065,20076,5020,7640,"Oracle Procedure","APA_5404_Unload Transfer gate","APA_5404_Unload Transfer gate","Real Time",,,,,,,"Use Reusable Group Routine",,,,,,"Y","N","SVC_PHM_CONNECT","3/29/2018 2:02:10.000000 PM","SYS","10/5/2018 2:22:28.000000 PM"
7068,20079,5020,7640,"Oracle Procedure","APA_5408_Transport","APA_5408_Transport","Real Time",,,,,,,"Use Reusable Group Routine",,,,,,"Y","N","SVC_PHM_CONNECT","3/29/2018 2:02:15.000000 PM","SYS","10/5/2018 2:22:28.000000 PM"
7077,20088,5020,7640,"Oracle Procedure","APA_5900_Process Path Carousel Motor","APA_5900_Process Path Carousel Motor","Real Time",,,,,,,"Use Reusable Group Routine",,,,,,"Y","N","SVC_PHM_CONNECT","3/29/2018 2:02:30.000000 PM","SYS","10/5/2018 2:22:28.000000 PM"
7082,20093,5020,7640,"Oracle Procedure","APA_5900_Sample Pipettor Syringe Motor","APA_5900_Sample Pipettor Syringe Motor","Real Time",,"PHM_APA_IA_GROUP_ALGORITHM",,,,,"Use Reusable Group Routine","KHANDMX5","Success","10/5/2018 2:12:01.000000 PM","Success",,"Y","N","SVC_PHM_CONNECT","3/29/2018 2:02:37.000000 PM","LIJX8","2/25/2019 9:48:16.000000 PM"
7016,20027,5020,7640,"Oracle Procedure","APA_3350_Outer Reagent","APA_3350_Outer Reagent","Real Time",,"PHM_APA_IA_GROUP_ALGORITHM",,,,,"Use Reusable Group Routine","KHANDMX5","Success","10/5/2018 2:12:01.000000 PM","Success",,"Y","N","SVC_PHM_CONNECT","3/29/2018 2:00:26.000000 PM","LIJX8","2/25/2019 8:29:40.000000 PM"
6993,20005,5020,7640,"Oracle Procedure","APA_3000_RV Carousel_RV2","APA_3000_RV Carousel_RV2","Real Time",,"PHM_APA_IA_GROUP_ALGORITHM",,,,,"Use Reusable Group Routine","KHANDMX5","Success","10/5/2018 2:12:01.000000 PM","Success",,"Y","N","SVC_PHM_CONNECT","3/29/2018 1:59:44.000000 PM","LIJX8","2/25/2019 6:10:55.000000 PM"
7001,20013,5020,7640,"Oracle Procedure","APA_3050_RV Carousel_RV1","APA_3050_RV Carousel_RV1","Real Time",,"PHM_APA_IA_GROUP_ALGORITHM",,,,,"Use Reusable Group Routine","KHANDMX5","Success","10/5/2018 2:12:01.000000 PM","Success",,"Y","N","SVC_PHM_CONNECT","3/29/2018 1:59:57.000000 PM","LIJX8","2/25/2019 6:26:07.000000 PM"
7083,20094,5020,7640,"Oracle Procedure","APA_5900_Sample Pipettor Z","APA_5900_Sample Pipettor Z","Real Time",,"PHM_APA_IA_GROUP_ALGORITHM",,,,,"Use Reusable Group Routine","KHANDMX5","Success","10/5/2018 2:12:01.000000 PM","Success",,"Y","N","SVC_PHM_CONNECT","3/29/2018 2:02:38.000000 PM","LIJX8","2/25/2019 9:49:10.000000 PM"
7021,20032,5020,7640,"Oracle Procedure","APA_3350_R1 Pipettor at RV2","APA_3350_R1 Pipettor at RV2","Real Time",,"PHM_APA_IA_GROUP_ALGORITHM",,,,,"Use Reusable Group Routine","KHANDMX5","Success","10/5/2018 2:12:01.000000 PM","Success",,"Y","N","SVC_PHM_CONNECT","3/29/2018 2:00:35.000000 PM","LIJX8","2/25/2019 8:33:21.000000 PM"
7026,20037,5020,7640,"Oracle Procedure","APA_3700_Wash Zone 2 wash aspiration error for probes (1)","APA_3700_Wash Zone 2 wash aspiration error for probes (1)","Real Time",,"PHM_APA_IA_GROUP_ALGORITHM",,,,,"Use Reusable Group Routine","KHANDMX5","Success","10/5/2018 2:12:01.000000 PM","Success",,"Y","N","SVC_PHM_CONNECT","3/29/2018 2:00:43.000000 PM","LIJX8","2/25/2019 8:57:11.000000 PM"
7066,20077,5020,7640,"Oracle Procedure","APA_5404_WZ Inlet Diverter","APA_5404_WZ Inlet Diverter","Real Time",,"PHM_APA_IA_GROUP_ALGORITHM",,,,,"Use Reusable Group Routine","KHANDMX5","Success","10/5/2018 2:12:01.000000 PM","Success",,"Y","N","SVC_PHM_CONNECT","3/29/2018 2:02:11.000000 PM","LIJX8","2/25/2019 9:23:03.000000 PM"
7087,20098,5020,7640,"Oracle Procedure","APA_5905_RV Loader Wheel","APA_5905_RV Loader Wheel","Real Time",,"PHM_APA_IA_GROUP_ALGORITHM",,,,,"Use Reusable Group Routine","KHANDMX5","Success","10/5/2018 2:12:01.000000 PM","Success",,"Y","N","SVC_PHM_CONNECT","3/29/2018 2:02:44.000000 PM","LIJX8","9/12/2019 7:53:32.000000 AM"
7017,20028,5020,7640,"Oracle Procedure","APA_3350_RV Carousel_RV1","APA_3350_RV Carousel_RV1","Real Time",,"PHM_APA_IA_GROUP_ALGORITHM",,,,,"Use Reusable Group Routine","KHANDMX5","Success","10/5/2018 2:12:01.000000 PM","Success",,"Y","N","SVC_PHM_CONNECT","3/29/2018 2:00:28.000000 PM","LIJX8","2/25/2019 8:34:56.000000 PM"
7027,20038,5020,7640,"Oracle Procedure","APA_3700_Wash Zone 2 wash aspiration error for probes (2)","APA_3700_Wash Zone 2 wash aspiration error for probes (2)","Real Time",,"PHM_APA_IA_GROUP_ALGORITHM",,,,,"Use Reusable Group Routine","KHANDMX5","Success","10/5/2018 2:12:01.000000 PM","Success",,"Y","N","SVC_PHM_CONNECT","3/29/2018 2:00:45.000000 PM","LIJX8","2/25/2019 8:58:03.000000 PM"
7067,20078,5020,7640,"Oracle Procedure","APA_5404_WZ Outlet Diverter","APA_5404_WZ Outlet Diverter","Real Time",,"PHM_APA_IA_GROUP_ALGORITHM",,,,,"Use Reusable Group Routine","KHANDMX5","Success","10/5/2018 2:12:01.000000 PM","Success",,"Y","N","SVC_PHM_CONNECT","3/29/2018 2:02:13.000000 PM","LIJX8","2/25/2019 9:25:26.000000 PM"
7063,20074,5020,7640,"Oracle Procedure","APA_5404_Unload Diverter","APA_5404_Unload Diverter","Real Time",,"PHM_APA_IA_GROUP_ALGORITHM",,,,,"Use Reusable Group Routine","KHANDMX5","Success","10/5/2018 2:12:01.000000 PM","Success",,"Y","N","SVC_PHM_CONNECT","3/29/2018 2:02:07.000000 PM","LIJX8","2/28/2019 8:16:24.000000 PM"
7018,20029,5020,7640,"Oracle Procedure","APA_3350_RV Carousel_RV2","APA_3350_RV Carousel_RV2","Real Time",,"PHM_APA_IA_GROUP_ALGORITHM",,,,,"Use Reusable Group Routine","KHANDMX5","Success","10/5/2018 2:12:01.000000 PM","Success",,"Y","N","SVC_PHM_CONNECT","3/29/2018 2:00:29.000000 PM","LIJX8","2/25/2019 8:36:27.000000 PM"
7028,20039,5020,7640,"Oracle Procedure","APA_3700_Wash Zone 2 wash aspiration error for probes (3)","APA_3700_Wash Zone 2 wash aspiration error for probes (3)","Real Time",,"PHM_APA_IA_GROUP_ALGORITHM",,,,,"Use Reusable Group Routine","KHANDMX5","Success","10/5/2018 2:12:01.000000 PM","Success",,"Y","N","SVC_PHM_CONNECT","3/29/2018 2:00:49.000000 PM","LIJX8","2/25/2019 8:59:02.000000 PM"
7568,20261,5020,7640,"Oracle Procedure","APA_5409_Carrier Transport Theta Motor","APA_5409_Carrier Transport Theta Motor","Real Time",,"PHM_APA_IA_GROUP_ALGORITHM",,,,,"Use Reusable Group Routine","KHANDMX5","Success","10/5/2018 2:12:01.000000 PM","Success",,"Y","N","CHANDSN","7/24/2018 6:03:51.000000 PM","LIJX8","2/25/2019 9:28:41.000000 PM"
6195,10000,,,,"Automated Refrigerator: Error 27: Rack Transfer Failed (Barrier Sensor Check)","Automated Refrigerator: Error 27: Rack Transfer Failed (Barrier Sensor Check)","Batch",,,,,,,"Define New Routine",,,,,,"N","N","SYS","1/13/2018 1:20:54.000000 PM","SYS","1/13/2018 1:20:54.000000 PM"
6196,10001,,,,"Automated Refrigerator: Error 28: Automated Refrigerator Barrier Failure","Automated Refrigerator: Error 28: Automated Refrigerator Barrier Failure","Batch",,,,,,,"Define New Routine",,,,,,"N","N","SYS","1/13/2018 1:20:54.000000 PM","SYS","1/13/2018 1:20:54.000000 PM"
6197,10002,,,,"Automated Refrigerator: Error 63:","Automated Refrigerator: Error 63:","Batch",,,,,,,"Define New Routine",,,,,,"N","N","SYS","1/13/2018 1:20:54.000000 PM","SYS","1/13/2018 1:20:54.000000 PM"
6198,10003,,,,"Carrier Did Not Pass - Aliquoter Divert","Carrier Did Not Pass - Aliquoter Divert","Batch",,,,,,,"Define New Routine",,,,,,"N","N","SYS","1/13/2018 1:20:54.000000 PM","SYS","1/13/2018 1:20:54.000000 PM"
6199,10004,,,,"Carrier Did Not Pass - Centrifuge 2 Gate A","Carrier Did Not Pass - Centrifuge 2 Gate A","Batch",,,,,,,"Define New Routine",,,,,,"N","N","SYS","1/13/2018 1:20:54.000000 PM","SYS","1/13/2018 1:20:54.000000 PM"
6200,10005,,,,"Carrier Did Not Pass - Centrifuge 2 Gate B","Carrier Did Not Pass - Centrifuge 2 Gate B","Batch",,,,,,,"Define New Routine",,,,,,"N","N","SYS","1/13/2018 1:20:54.000000 PM","SYS","1/13/2018 1:20:54.000000 PM"
6201,10006,,,,"Carrier Did Not Pass - Centrifuge 2 Gate C","Carrier Did Not Pass - Centrifuge 2 Gate C","Batch",,,,,,,"Define New Routine",,,,,,"N","N","SYS","1/13/2018 1:20:55.000000 PM","SYS","1/13/2018 1:20:55.000000 PM"
6202,10007,,,,"Carrier Did Not Pass - Centrifuge Gate A","Carrier Did Not Pass - Centrifuge Gate A","Batch",,,,,,,"Define New Routine",,,,,,"N","N","SYS","1/13/2018 1:20:55.000000 PM","SYS","1/13/2018 1:20:55.000000 PM"
6203,10008,,,,"Carrier Did Not Pass - Centrifuge Gate B","Carrier Did Not Pass - Centrifuge Gate B","Batch",,,,,,,"Define New Routine",,,,,,"N","N","SYS","1/13/2018 1:20:55.000000 PM","SYS","1/13/2018 1:20:55.000000 PM"
6204,10009,,,,"Carrier Did Not Pass - Centrifuge Gate C","Carrier Did Not Pass - Centrifuge Gate C","Batch",,,,,,,"Define New Routine",,,,,,"N","N","SYS","1/13/2018 1:20:55.000000 PM","SYS","1/13/2018 1:20:55.000000 PM"
6205,10010,,,,"Carrier Did Not Pass - Decapper Divert Gate","Carrier Did Not Pass - Decapper Divert Gate","Batch",,,,,,,"Define New Routine",,,,,,"N","N","SYS","1/13/2018 1:20:55.000000 PM","SYS","1/13/2018 1:20:55.000000 PM"
6206,10011,,,,"Carrier Did Not Pass - Decapper Gate","Carrier Did Not Pass - Decapper Gate","Batch",,,,,,,"Define New Routine",,,,,,"N","N","SYS","1/13/2018 1:20:55.000000 PM","SYS","1/13/2018 1:20:55.000000 PM"
6207,10012,,,,"Carrier Did Not Pass - Desealer Divert","Carrier Did Not Pass - Desealer Divert","Batch",,,,,,,"Define New Routine",,,,,,"N","N","SYS","1/13/2018 1:20:55.000000 PM","SYS","1/13/2018 1:20:55.000000 PM"
6208,10013,,,,"Carrier Did Not Pass - Desealer Gate","Carrier Did Not Pass - Desealer Gate","Batch",,,,,,,"Define New Routine",,,,,,"N","N","SYS","1/13/2018 1:20:55.000000 PM","SYS","1/13/2018 1:20:55.000000 PM"
6209,10014,,,,"Carrier Did Not Pass - Instrument 1 Gate","Carrier Did Not Pass - Instrument 1 Gate","Batch",,,,,,,"Define New Routine",,,,,,"N","N","SYS","1/13/2018 1:20:55.000000 PM","SYS","1/13/2018 1:20:55.000000 PM"
6210,10015,,,,"Carrier Did Not Pass - Instrument 2 Gate","Carrier Did Not Pass - Instrument 2 Gate","Batch",,,,,,,"Define New Routine",,,,,,"N","N","SYS","1/13/2018 1:20:55.000000 PM","SYS","1/13/2018 1:20:55.000000 PM"
