MODULESNDRM,CUVETTETYPE,MAX(C4MIDDLE.FLAG_DATE),FLAGGED
"C402280","c4",6/17/2019 4:48:20 PM,0
"C402496","c4",6/19/2019 10:32:36 AM,0
"C402396","c4",6/16/2019 10:24:12 PM,0
"C402613","c4",6/18/2019 2:00:40 AM,0
"C401559","c4",6/17/2019 6:37:03 PM,0
"C402227","c4",6/19/2019 8:29:38 PM,0
"C401596","c4",6/17/2019 10:12:14 PM,0
"C400397","c4",6/19/2019 5:27:03 PM,0
"C402514","c4",6/19/2019 5:32:34 PM,0
"C461448","c4",6/18/2019 4:05:57 PM,0
"C461100","c4",6/18/2019 8:06:52 PM,0
"C401779","c4",6/18/2019 5:48:25 PM,0
"C401768","c4",6/19/2019 3:40:00 PM,0
"C401044","c4",6/15/2019 8:48:09 PM,0
"C401549","c4",6/18/2019 12:11:11 AM,0
"C461198","c4",6/18/2019 6:16:59 PM,0
"C401253","c4",6/16/2019 12:37:51 AM,0
"C402205","c4",6/19/2019 10:38:30 AM,0
"C402029","c4",6/17/2019 1:33:40 AM,0
"C461529","c4",6/19/2019 8:32:06 AM,0
"C461435","c4",6/19/2019 3:23:16 PM,0
"C401828","c4",6/17/2019 7:31:47 PM,0
"C461105","c4",6/19/2019 4:51:38 AM,0
"C401175","c4",6/17/2019 7:18:05 PM,0
"C401676","c4",6/19/2019 5:09:50 PM,0
"C401725","c4",6/19/2019 6:18:29 PM,0
"C401973","c4",6/14/2019 2:17:44 PM,0
"C401995","c4",6/19/2019 10:40:17 AM,0
"C401074","c4",6/19/2019 7:47:43 AM,0
"C402201","c4",6/19/2019 8:20:05 AM,0
"C401181","c4",6/18/2019 1:00:35 AM,0
"C402517","c4",6/19/2019 6:45:12 PM,0
"C400947","c4",6/19/2019 5:39:06 PM,0
"C400813","c4",6/19/2019 10:18:28 AM,0
"C461114","c4",6/18/2019 6:33:46 PM,0
"C401431","c4",6/19/2019 1:06:55 PM,0
"C402456","c4",6/17/2019 11:51:52 PM,0
"C460380","c4",6/18/2019 5:51:53 PM,0
"C460758","c4",6/18/2019 1:08:54 PM,0
"C400390","c4",6/19/2019 7:34:00 PM,0
"C401143","c4",6/19/2019 11:22:17 PM,0
"C400034","c4",6/18/2019 11:28:13 AM,0
"C401379","c4",6/19/2019 5:00:55 PM,0
"C400382","c4",6/19/2019 5:32:27 PM,0
"C460348","c4",6/18/2019 8:28:09 PM,0
"C402217","c4",6/18/2019 5:12:40 PM,0
"C401467","c4",6/19/2019 2:38:34 PM,0
"C401287","c4",6/19/2019 9:36:29 AM,0
"C401256","c4",6/18/2019 3:00:53 PM,0
"C401376","c4",6/19/2019 6:46:50 PM,0
"C402562","c4",6/18/2019 2:46:30 PM,0
"C461665","c4",6/18/2019 1:54:49 PM,0
"C460131","c4",6/19/2019 12:20:32 AM,0
"C400861","c4",6/17/2019 4:31:01 PM,0
"C400504","c4",6/17/2019 10:16:22 AM,0
"C402196","c4",6/19/2019 1:17:08 PM,0
"C402506","c4",6/19/2019 3:22:51 PM,0
"C460292","c4",6/19/2019 4:22:11 PM,0
"C460822","c4",6/19/2019 4:21:38 PM,0
"C400981","c4",6/19/2019 9:30:27 PM,0
"C460161","c4",6/18/2019 10:53:03 PM,0
"C461130","c4",6/19/2019 1:46:23 AM,0
"C401512","c4",6/19/2019 5:21:17 PM,0
"C402634","c4",6/19/2019 5:40:21 PM,0
"C461770","c4",6/18/2019 7:25:51 PM,0
"C400362","c4",6/19/2019 4:04:54 PM,0
"C460011","c4",6/19/2019 5:07:07 AM,0
"C401076","c4",6/19/2019 5:20:50 PM,0
"C401680","c4",6/19/2019 9:30:03 PM,0
"C460411","c4",6/19/2019 5:50:49 AM,0
"C460806","c4",6/19/2019 7:03:33 AM,0
"C400676","c4",6/19/2019 3:49:20 PM,0
"C460724","c4",6/19/2019 12:47:32 AM,0
"C402165","c4",6/17/2019 4:33:42 PM,0
"C461707","c4",6/19/2019 9:33:45 AM,0
"C460028","c4",6/19/2019 12:13:32 AM,0
"C461682","c4",6/18/2019 4:59:08 PM,0
"C402281","c4",6/17/2019 1:22:55 AM,0
"C400182","c4",6/19/2019 6:03:05 PM,0
"C401773","c4",6/19/2019 2:00:52 AM,0
"C400499","c4",6/18/2019 1:59:13 AM,0
"C460879","c4",6/19/2019 6:04:38 AM,0
"C400598","c4",6/17/2019 2:21:12 AM,0
"C402237","c4",6/18/2019 1:45:11 AM,0
"C400624","c4",6/17/2019 11:56:40 PM,0
"C400412","c4",6/18/2019 1:04:01 AM,0
"C402298","c4",6/17/2019 7:56:28 PM,0
"C401317","c4",6/18/2019 1:48:51 AM,0
"C401955","c4",6/17/2019 8:19:30 PM,0
"C400298","c4",6/17/2019 6:13:35 PM,0
"C402289","c4",6/18/2019 2:03:53 AM,0
"C461168","c4",6/19/2019 11:38:55 AM,0
"C461225","c4",6/19/2019 12:05:02 PM,0
"C401500","c4",6/19/2019 4:57:06 PM,0
"C400737","c4",6/19/2019 1:12:54 PM,0
"C401804","c4",6/19/2019 2:54:50 PM,0
"C400806","c4",6/19/2019 12:02:21 PM,0
"C400884","c4",6/13/2019 11:35:21 AM,0
"C401004","c4",6/19/2019 11:13:15 PM,0
"C460033","c4",6/14/2019 3:48:28 PM,0
"C460034","c4",6/18/2019 12:34:08 AM,0
"C401393","c4",6/19/2019 3:16:07 PM,0
"C400479","c4",6/19/2019 12:53:54 AM,0
"C400891","c4",6/19/2019 8:14:34 AM,0
"C401377","c4",6/19/2019 12:01:51 PM,0
"C402505","c4",6/14/2019 12:01:35 PM,0
"C460445","c4",6/18/2019 6:36:36 AM,0
"C402629","c4",6/19/2019 6:56:52 PM,0
"C460832","c4",6/18/2019 12:33:11 AM,0
"C461651","c4",6/19/2019 4:55:28 AM,0
"C401694","c4",6/18/2019 12:16:43 AM,0
"C401301","c4",6/18/2019 12:27:01 AM,0
"C496039","c4",6/14/2019 4:17:50 PM,0
"C401536","c4",6/19/2019 1:51:39 AM,0
"C402173","c4",6/18/2019 1:08:52 AM,0
"C401115","c4",6/18/2019 2:09:45 AM,0
"C461622","c4",6/19/2019 5:36:12 PM,0
"C401660","c4",6/19/2019 5:13:42 PM,0
"C492001","c4",6/19/2019 10:28:42 PM,0
"C402524","c4",6/19/2019 7:46:50 PM,0
"C496009","c4",6/19/2019 10:33:26 PM,0
"C402376","c4",6/19/2019 5:33:47 PM,0
"C402063","c4",6/19/2019 5:43:07 PM,0
"C496037","c4",6/19/2019 5:27:25 PM,0
"C400924","c4",6/19/2019 4:28:31 PM,0
"C402380","c4",6/19/2019 8:19:58 PM,0
"C402319","c4",6/19/2019 2:37:50 PM,0
"C400265","c4",6/19/2019 1:16:06 PM,0
"C400712","c4",6/19/2019 5:28:13 PM,0
"C461133","c4",6/18/2019 5:43:22 PM,0
"C460976","c4",6/19/2019 12:31:04 AM,0
"C402548","c4",6/19/2019 6:49:13 PM,0
"C402260","c4",6/19/2019 6:40:52 PM,0
"C401921","c4",6/19/2019 6:11:47 PM,0
"C460035","c4",6/19/2019 5:29:06 PM,0
"C460707","c4",6/18/2019 9:30:06 PM,0
"C461820","c4",6/18/2019 3:53:53 PM,0
"C400209","c4",6/18/2019 11:09:14 AM,0
"C461351","c4",6/18/2019 11:40:45 PM,0
"C400413","c4",6/19/2019 4:49:29 PM,0
"C461530","c4",6/19/2019 12:40:22 AM,0
"C400201","c4",6/19/2019 4:07:12 PM,0
"C401736","c4",6/19/2019 8:23:52 PM,0
"C461068","c4",6/17/2019 11:24:37 PM,0
"C401388","c4",6/16/2019 1:36:40 AM,0
"C460774","c4",6/18/2019 10:42:34 PM,0
"C400266","c4",6/19/2019 5:24:56 PM,0
"C402190","c4",6/19/2019 6:42:41 PM,0
"C402516","c4",6/19/2019 8:03:20 PM,0
"C460828","c4",6/14/2019 4:49:13 PM,0
"C400320","c4",6/19/2019 5:38:18 PM,0
"C461413","c4",6/18/2019 6:34:57 PM,0
"C401100","c4",6/20/2019 10:17:29 AM,0
"C460938","c4",6/18/2019 11:21:55 PM,0
"C461072","c4",6/19/2019 5:35:55 PM,0
"C461272","c4",6/18/2019 4:58:26 PM,0
"C461193","c4",6/19/2019 2:41:47 AM,0
"C402545","c4",6/19/2019 5:37:55 PM,0
"C460632","c4",6/18/2019 5:21:37 PM,0
"C461014","c4",6/19/2019 12:20:40 PM,0
"C460159","c4",6/19/2019 12:16:42 PM,0
"C461250","c4",6/17/2019 6:26:43 PM,0
"C460859","c4",6/19/2019 7:00:05 AM,0
"C460469","c4",6/18/2019 8:13:56 PM,0
"C402327","c4",6/18/2019 1:57:37 AM,0
"C460552","c4",6/19/2019 5:02:17 AM,0
"C402619","c4",6/16/2019 11:19:49 PM,0
"C401480","c4",6/19/2019 5:33:07 PM,0
"C401567","c4",6/19/2019 5:40:35 PM,0
"C400945","c4",6/19/2019 5:09:19 PM,0
"C400361","c4",6/19/2019 5:44:51 PM,0
"C400965","c4",6/17/2019 9:57:33 PM,0
"C401066","c4",6/19/2019 2:08:39 AM,0
"C400997","c4",6/18/2019 1:30:51 AM,0
"C402482","c4",6/19/2019 7:47:42 AM,0
"C401416","c4",6/18/2019 1:18:46 AM,0
"C400268","c4",6/18/2019 1:37:19 AM,0
"C402171","c4",6/17/2019 10:32:54 PM,0
"C402610","c4",6/17/2019 1:34:59 AM,0
"C401617","c4",6/17/2019 11:40:40 PM,0
"C402423","c4",6/18/2019 2:08:31 AM,0
"C401219","c4",6/18/2019 1:17:39 AM,0
"C400214","c4",6/19/2019 5:44:16 PM,0
"C401577","c4",6/18/2019 1:10:28 AM,0
"C401715","c4",6/18/2019 1:55:24 AM,0
"C402091","c4",6/19/2019 6:42:43 PM,0
"C400881","c4",6/18/2019 12:32:46 AM,0
"C402279","c4",6/19/2019 1:24:43 AM,0
"C402296","c4",6/19/2019 1:45:00 AM,0
"C461138","c4",6/18/2019 8:45:49 PM,0
"C400251","c4",6/18/2019 1:02:25 AM,0
"C401034","c4",6/19/2019 5:41:25 PM,0
"C461015","c4",6/19/2019 12:04:01 PM,0
"C400986","c4",6/17/2019 10:57:58 PM,0
"C401212","c4",6/18/2019 1:50:20 AM,0
"C401294","c4",6/18/2019 1:53:15 AM,0
"C402478","c4",6/18/2019 6:13:07 PM,0
"C461506","c4",6/19/2019 3:46:34 AM,0
"C460235","c4",6/19/2019 12:02:54 PM,0
"C402009","c4",6/17/2019 1:48:37 AM,0
"C460637","c4",6/18/2019 10:31:58 AM,0
"C401943","c4",6/19/2019 10:39:50 AM,0
"C400844","c4",6/18/2019 12:46:02 AM,0
"C460798","c4",6/18/2019 1:55:02 AM,0
"C460284","c4",6/19/2019 11:43:12 AM,0
"C401576","c4",6/18/2019 1:03:39 AM,0
"C401714","c4",6/18/2019 11:04:29 PM,0
"C402413","c4",6/17/2019 1:45:34 AM,0
"C402439","c4",6/16/2019 11:03:56 PM,0
"C401486","c4",6/18/2019 1:46:31 AM,0
"C402339","c4",6/17/2019 12:11:38 AM,0
"C460845","c4",6/18/2019 1:03:47 AM,0
"C400626","c4",6/18/2019 12:14:39 AM,0
"C402424","c4",6/18/2019 2:03:52 AM,0
"C401477","c4",6/18/2019 12:23:39 AM,0
"C402081","c4",6/18/2019 12:33:12 AM,0
"C402477","c4",6/19/2019 10:31:27 AM,0
"C402016","c4",6/19/2019 5:49:25 PM,0
"C400778","c4",6/13/2019 6:03:21 PM,0
"C400998","c4",6/18/2019 12:20:53 AM,0
"C400839","c4",6/18/2019 1:28:52 AM,0
"C400578","c4",6/18/2019 1:45:15 AM,0
"C400949","c4",6/18/2019 1:53:49 AM,0
"C401584","c4",6/19/2019 9:44:43 AM,0
"C460684","c4",6/19/2019 6:43:34 PM,0
"C460484","c4",6/18/2019 12:57:59 AM,0
"C400725","c4",6/18/2019 12:47:59 AM,0
"C401400","c4",6/17/2019 5:13:44 PM,0
"C401683","c4",6/18/2019 8:37:13 PM,0
"C401368","c4",6/18/2019 12:20:15 AM,0
"C401607","c4",6/18/2019 1:15:38 AM,0
"C401267","c4",6/19/2019 6:40:40 PM,0
"C400713","c4",6/17/2019 1:48:54 AM,0
"C401399","c4",6/18/2019 1:33:50 AM,0
"C402393","c4",6/17/2019 5:56:36 PM,0
"C401448","c4",6/17/2019 7:30:56 PM,0
"C401290","c4",6/17/2019 1:34:33 AM,0
"C461857","c4",6/19/2019 5:15:14 AM,0
"C400143","c4",6/19/2019 11:20:21 AM,0
"C401738","c4",6/19/2019 5:08:44 PM,0
"C401631","c4",6/19/2019 6:52:48 PM,0
"C460565","c4",6/19/2019 5:03:42 PM,0
"C400055","c4",6/19/2019 1:34:26 PM,0
"C400097","c4",6/18/2019 1:25:55 PM,0
"C400462","c4",6/18/2019 2:32:23 PM,0
"C460414","c4",6/18/2019 9:47:46 PM,0
"C461491","c4",6/18/2019 11:02:51 AM,0
"C402476","c4",6/19/2019 5:25:15 PM,0
"C461423","c4",6/19/2019 6:41:26 PM,0
"C460999","c4",6/18/2019 4:46:08 PM,0
"C401684","c4",6/16/2019 8:09:37 PM,0
"C460153","c4",6/18/2019 4:48:09 PM,0
"C400977","c4",6/15/2019 2:26:08 PM,0
"C461574","c4",6/18/2019 12:24:48 PM,0
"C401755","c4",6/19/2019 12:53:49 PM,0
"C461251","c4",6/18/2019 2:43:46 PM,0
"C401699","c4",6/18/2019 10:38:10 PM,0
"C401763","c4",6/19/2019 5:41:23 PM,0
"C400865","c4",6/19/2019 4:25:07 PM,0
"C400678","c4",6/19/2019 6:33:40 PM,0
"C400816","c4",6/19/2019 2:11:30 AM,0
"C401233","c4",6/17/2019 2:17:21 AM,0
"C400466","c4",6/17/2019 3:45:15 PM,0
"C402037","c4",6/18/2019 12:12:30 AM,0
"C461555","c4",6/19/2019 3:01:41 AM,0
"C402300","c4",6/17/2019 6:27:43 PM,0
"C401468","c4",6/18/2019 1:52:51 AM,0
"C461228","c4",6/18/2019 3:21:18 PM,0
"C401469","c4",6/19/2019 8:28:31 PM,0
"C400011","c4",6/18/2019 3:00:02 PM,0
"C461600","c4",6/18/2019 1:19:58 PM,0
"C460675","c4",6/19/2019 5:58:17 PM,0
"C401217","c4",6/18/2019 1:37:14 AM,0
"C401413","c4",6/19/2019 6:34:09 PM,0
"C460998","c4",6/19/2019 11:49:27 AM,0
"C400164","c4",6/19/2019 5:18:13 PM,0
"C401308","c4",6/19/2019 11:10:29 AM,0
"C406502","c4",6/18/2019 6:54:01 PM,0
"C400238","c4",6/18/2019 4:22:15 PM,0
"C402117","c4",6/19/2019 11:36:04 AM,0
"C400722","c4",6/19/2019 1:27:28 AM,0
"C496016","c4",6/19/2019 5:02:11 PM,0
"C461029","c4",6/18/2019 3:15:17 PM,0
"C460523","c4",6/19/2019 3:53:26 AM,0
"C402560","c4",6/17/2019 8:18:02 PM,0
"C400989","c4",6/19/2019 10:19:23 AM,0
"C400560","c4",6/19/2019 3:47:33 PM,0
"C460023","c4",6/19/2019 6:57:15 AM,0
"C400183","c4",6/19/2019 1:50:39 PM,0
"C461630","c4",6/18/2019 4:16:03 PM,0
"C401641","c4",6/18/2019 1:55:45 AM,0
"C401069","c4",6/19/2019 10:27:32 AM,0
"C460834","c4",6/17/2019 12:36:38 AM,0
"C401882","c4",6/18/2019 2:18:28 AM,0
"C461175","c4",6/18/2019 3:46:44 PM,0
"C400904","c4",6/18/2019 1:02:51 AM,0
"C402593","c4",6/18/2019 2:36:27 AM,0
"C401062","c4",6/19/2019 2:19:34 AM,0
"C401194","c4",6/19/2019 4:35:31 PM,0
"C496004","c4",6/19/2019 7:37:17 PM,0
"C402269","c4",6/19/2019 10:39:37 AM,0
"C401337","c4",6/18/2019 1:40:44 AM,0
"C400796","c4",6/16/2019 1:28:59 PM,0
"C400538","c4",6/19/2019 10:56:14 AM,0
"C460789","c4",6/18/2019 2:28:02 PM,0
"C496031","c4",6/19/2019 9:43:37 PM,0
"C401199","c4",6/18/2019 12:31:29 AM,0
"C402347","c4",6/19/2019 7:50:16 AM,0
"C461712","c4",6/19/2019 4:20:05 AM,0
"C400563","c4",6/18/2019 12:45:54 AM,0
"C461754","c4",6/18/2019 6:09:40 PM,0
"C401787","c4",6/19/2019 6:35:48 AM,0
"C401689","c4",6/18/2019 2:10:36 AM,0
"C460184","c4",6/18/2019 2:17:55 PM,0
"C400899","c4",6/18/2019 1:52:13 AM,0
"C460521","c4",6/19/2019 10:34:53 AM,0
"C401265","c4",6/17/2019 10:19:22 PM,0
"C402361","c4",6/17/2019 6:00:35 PM,0
"C402261","c4",6/19/2019 5:42:29 PM,0
"C402573","c4",6/15/2019 6:48:40 PM,0
"C402303","c4",6/19/2019 10:34:31 AM,0
"C461349","c4",6/14/2019 12:25:57 PM,0
"C460524","c4",6/18/2019 6:30:37 PM,0
"C400233","c4",6/19/2019 4:38:59 PM,0
"C460169","c4",6/18/2019 3:24:53 PM,0
"C461603","c4",6/18/2019 11:46:02 PM,0
"C460658","c4",6/18/2019 12:51:09 PM,0
"C402340","c4",6/19/2019 12:35:35 AM,0
"C401626","c4",6/17/2019 5:06:22 PM,0
"C402030","c4",6/19/2019 5:03:10 PM,0
"C401671","c4",6/17/2019 10:48:25 PM,0
"C400994","c4",6/18/2019 12:26:02 AM,0
"C461672","c4",6/19/2019 4:56:37 PM,0
"C402112","c4",6/19/2019 6:47:42 PM,0
"C401025","c4",6/18/2019 1:13:49 AM,0
"C400685","c4",6/17/2019 12:36:10 AM,0
"C461676","c4",6/18/2019 7:58:02 AM,0
"C460857","c4",6/18/2019 4:16:17 AM,0
"C461833","c4",6/18/2019 6:08:47 PM,0
"C461621","c4",6/19/2019 2:55:49 AM,0
"C401594","c4",6/19/2019 9:02:52 PM,0
"C461048","c4",6/19/2019 1:51:27 PM,0
"C461832","c4",6/18/2019 7:06:09 PM,0
"C400272","c4",6/18/2019 2:09:24 PM,0
"C460438","c4",6/18/2019 2:38:44 PM,0
"C400988","c4",6/19/2019 4:58:06 PM,0
"C461552","c4",6/18/2019 3:25:14 PM,0
"C461669","c4",6/18/2019 3:45:41 PM,0
"C401566","c4",6/19/2019 6:53:39 PM,0
"C401860","c4",6/19/2019 3:17:09 PM,0
"C400834","c4",6/19/2019 3:26:24 PM,0
"C460780","c4",6/19/2019 12:04:10 PM,0
"C461154","c4",6/19/2019 1:18:40 AM,0
"C460657","c4",6/12/2019 5:40:04 PM,0
"C461217","c4",6/19/2019 3:03:37 AM,0
"C401855","c4",6/18/2019 8:23:22 PM,0
"C402240","c4",6/19/2019 11:58:10 AM,0
"C460918","c4",6/18/2019 2:31:31 PM,0
"C402369","c4",6/15/2019 5:37:36 PM,0
"C460402","c4",6/18/2019 7:25:58 PM,0
"C496028","c4",6/19/2019 5:52:40 PM,0
"C460375","c4",6/19/2019 5:27:25 AM,0
"C400525","c4",6/19/2019 5:04:12 PM,0
"C402283","c4",6/18/2019 5:59:17 PM,0
"C402640","c4",6/19/2019 8:31:41 PM,0
"C460266","c4",6/19/2019 2:40:35 AM,0
"C402144","c4",6/19/2019 2:30:22 PM,0
"C400424","c4",6/17/2019 6:25:37 PM,0
"C402529","c4",6/18/2019 2:36:58 AM,0
