SQL Statement which produced this data:
  select 
      *
  from 
      svc_phm_owner.phm_threshold_parameter;

PHM_THR_PAR_SK,PHM_D_ALGORITHM_DEFINITIONS_SK,PHM_PATTERNS_SK,PARAMETER_GROUP_NAME,PARAMETER_NAME,PARAMETER_VALUES,DELETE_FLAG,APP_AUDITS_CREATE_USER,APP_AUDITS_CREATE_DATE,APP_AUDITS_MODIFY_USER,APP_AUDITS_MODIFY_DATE
11750,20192,20193,"PROCPATHJAMS_THRESHOLD","PROCPATHJAMS_THRESHOLD_AIMCODE","5758","N","CHANDSN","6/29/2018 1:53:39.000000 PM","CHANDSN","9/11/2018 2:02:33.000000 PM"
11751,20192,20193,"PROCPATHJAMS_THRESHOLD","PROCPATHJAMS_THRESHOLD_AIMSUBCODE","D298","N","CHANDSN","6/29/2018 1:53:39.000000 PM","CHANDSN","9/11/2018 2:02:33.000000 PM"
11752,20192,20193,"PROCPATHJAMS_THRESHOLD","PROCPATHJAMS_THRESHOLD_NUMRESULTS","10","N","CHANDSN","6/29/2018 1:53:39.000000 PM","CHANDSN","9/11/2018 2:02:33.000000 PM"
11753,20192,20193,"PROCPATHJAMS_THRESHOLD","PROCPATHJAMS_THRESHOLD_NUMRETRIES","4","N","CHANDSN","6/29/2018 1:53:39.000000 PM","CHANDSN","9/11/2018 2:02:33.000000 PM"
11754,20192,20193,"PROCPATHJAMS_THRESHOLD","THRESHOLDS_COUNT","1","N","CHANDSN","6/29/2018 1:53:39.000000 PM","CHANDSN","9/11/2018 2:02:33.000000 PM"
11755,20193,20194,"CHART_CONFIG","THRESHOLD_DESCRIPTION","Alinity IA Pretreat Path Jams 5758","N","CHANDSN","6/29/2018 2:03:28.000000 PM","CHANDSN","9/11/2018 2:02:52.000000 PM"
11756,20193,20194,"PROCPATHJAMS_THRESHOLD","IHN_LEVEL3_DESC","Alinity IA Pretreat Path Jams 5758","N","CHANDSN","6/29/2018 2:03:28.000000 PM","CHANDSN","9/11/2018 2:02:52.000000 PM"
11757,20193,20194,"PROCPATHJAMS_THRESHOLD","PROCPATHJAMS_THRESHOLD_AIMCODE","5758","N","CHANDSN","6/29/2018 2:03:28.000000 PM","CHANDSN","9/11/2018 2:02:52.000000 PM"
11758,20193,20194,"PROCPATHJAMS_THRESHOLD","PROCPATHJAMS_THRESHOLD_AIMSUBCODE","D299","N","CHANDSN","6/29/2018 2:03:28.000000 PM","CHANDSN","9/11/2018 2:02:52.000000 PM"
11759,20193,20194,"PROCPATHJAMS_THRESHOLD","PROCPATHJAMS_THRESHOLD_NUMRESULTS","10","N","CHANDSN","6/29/2018 2:03:28.000000 PM","CHANDSN","9/11/2018 2:02:52.000000 PM"
11760,20193,20194,"PROCPATHJAMS_THRESHOLD","PROCPATHJAMS_THRESHOLD_NUMRETRIES","4","N","CHANDSN","6/29/2018 2:03:28.000000 PM","CHANDSN","9/11/2018 2:02:52.000000 PM"
11761,20193,20194,"PROCPATHJAMS_THRESHOLD","THRESHOLDS_COUNT","1","N","CHANDSN","6/29/2018 2:03:28.000000 PM","CHANDSN","9/11/2018 2:02:52.000000 PM"
11762,20194,20195,"ALINITY_APA_IA","ERROR_CODE_REG_EXPR","X,Y,Z.....","N","CHANDSN","6/29/2018 2:32:04.000000 PM","CHANDSN","6/30/2018 9:38:09.000000 PM"
11763,20194,20195,"ALINITY_APA_IA","ERROR_CODE_VALUE","11111","N","CHANDSN","6/29/2018 2:32:04.000000 PM","CHANDSN","6/30/2018 9:38:09.000000 PM"
11764,20194,20195,"ALINITY_APA_IA","ERROR_COUNT","1","N","CHANDSN","6/29/2018 2:32:04.000000 PM","CHANDSN","6/30/2018 9:38:09.000000 PM"
11765,20194,20195,"ALINITY_APA_IA","THRESHOLDS_DAYS","1","N","CHANDSN","6/29/2018 2:32:04.000000 PM","CHANDSN","6/30/2018 9:38:09.000000 PM"
11766,20194,20195,"ALINITY_APA_IA","THRESHOLD_DATA_DAYS","1","N","CHANDSN","6/29/2018 2:32:04.000000 PM","CHANDSN","6/30/2018 9:38:09.000000 PM"
11767,20194,20195,"ALINITY_APA_IA","IHN_LEVEL3_DESC","IHN_LEVEL3_DESC","N","CHANDSN","6/29/2018 2:32:04.000000 PM","CHANDSN","6/30/2018 9:38:09.000000 PM"
11768,20194,20195,"ALINITY_APA_IA","THRESHOLD_TYPE","COUNT","N","CHANDSN","6/29/2018 2:32:04.000000 PM","CHANDSN","6/30/2018 9:38:09.000000 PM"
11769,20194,20195,"ALINITY_APA_IA","THRESHOLD_DESCRIPTION","1/DAY","N","CHANDSN","6/29/2018 2:32:04.000000 PM","CHANDSN","6/30/2018 9:38:09.000000 PM"
11770,20141,20142,"ALINITY_APA_IA","ERROR_CODE_REG_EXPR",,"Y","CHANDSN","6/29/2018 2:43:30.000000 PM","CHANDSN","6/30/2018 12:40:41.000000 PM"
11771,20141,20142,"ALINITY_CI_SCM","ERROR_CODE_VALUE","PHN00066","N","CHANDSN","6/29/2018 2:43:30.000000 PM","CHANDSN","7/1/2018 7:45:59.000000 PM"
11772,20141,20142,"ALINITY_CI_SCM","ERROR_COUNT","1","N","CHANDSN","6/29/2018 2:43:30.000000 PM","CHANDSN","7/1/2018 7:45:59.000000 PM"
11773,20141,20142,"ALINITY_CI_SCM","IHN_LEVEL3_DESC","Alinity ci SCM AbbottLink Disconnect","N","CHANDSN","6/29/2018 2:43:30.000000 PM","CHANDSN","7/1/2018 7:45:59.000000 PM"
11774,20141,20142,"ALINITY_APA_IA","THRESHOLDS_DAYS","1","Y","CHANDSN","6/29/2018 2:43:30.000000 PM","CHANDSN","6/29/2018 2:44:27.000000 PM"
11775,20141,20142,"ALINITY_CI_SCM","THRESHOLD_DATA_DAYS","1","N","CHANDSN","6/29/2018 2:43:30.000000 PM","CHANDSN","7/1/2018 7:45:59.000000 PM"
11776,20141,20142,"ALINITY_APA_IA","THRESHOLD_DESCRIPTION","1/DAY","Y","CHANDSN","6/29/2018 2:43:30.000000 PM","CHANDSN","6/29/2018 2:57:33.000000 PM"
11777,20141,20142,"ALINITY_CI_SCM","THRESHOLD_TYPE","COUNT","N","CHANDSN","6/29/2018 2:43:30.000000 PM","CHANDSN","7/1/2018 7:45:59.000000 PM"
11778,20141,20142,"ALINITY_APA_IA","ERROR_CODE_REG_EXPR","X,Y,Z.....","Y","CHANDSN","6/29/2018 2:56:48.000000 PM","CHANDSN","6/29/2018 2:57:20.000000 PM"
11779,20141,20142,"ALINITY_APA_IA","ERROR_CODE_VALUE","11111","Y","CHANDSN","6/29/2018 2:56:48.000000 PM","CHANDSN","6/29/2018 2:57:20.000000 PM"
11780,20141,20142,"ALINITY_APA_IA","ERROR_COUNT","1","Y","CHANDSN","6/29/2018 2:56:48.000000 PM","CHANDSN","6/29/2018 2:57:20.000000 PM"
11781,20141,20142,"ALINITY_APA_IA","IHN_LEVEL3_DESC","IHN_LEVEL3_DESC","Y","CHANDSN","6/29/2018 2:56:48.000000 PM","CHANDSN","6/29/2018 2:57:20.000000 PM"
11782,20141,20142,"ALINITY_APA_IA","THRESHOLDS_DAYS","1","Y","CHANDSN","6/29/2018 2:56:48.000000 PM","CHANDSN","6/29/2018 2:57:42.000000 PM"
11783,20141,20142,"ALINITY_APA_IA","THRESHOLD_DATA_DAYS","1","Y","CHANDSN","6/29/2018 2:56:48.000000 PM","CHANDSN","6/29/2018 2:57:33.000000 PM"
11784,20141,20142,"CHART_CONFIG","THRESHOLD_DESCRIPTION","1/DAY","N","CHANDSN","6/29/2018 2:56:48.000000 PM","CHANDSN","7/1/2018 7:45:59.000000 PM"
11785,20141,20142,"ALINITY_APA_IA","THRESHOLD_TYPE","COUNT","Y","CHANDSN","6/29/2018 2:56:48.000000 PM","CHANDSN","6/29/2018 2:57:57.000000 PM"
11894,20290,20291,"CHART_CONFIG","THRESHOLD_DESCRIPTION","Alinity IA Dark Counts - R","N","CHANDSN","10/5/2018 4:39:32.000000 PM","CHANDSN","10/5/2018 4:42:07.000000 PM"
11895,20290,20291,"R_PROD_TEST","IHN_LEVEL3_DESC","Alinity IA Dark Counts - R PROD Test","N","CHANDSN","10/5/2018 4:39:32.000000 PM","CHANDSN","10/5/2018 4:42:07.000000 PM"
11896,20290,20291,"R_PROD_TEST","MAX_IDC","45","N","CHANDSN","10/5/2018 4:39:32.000000 PM","CHANDSN","10/5/2018 4:42:07.000000 PM"
11897,20290,20291,"R_PROD_TEST","THRESHOLDS_COUNT","1","N","CHANDSN","10/5/2018 4:39:32.000000 PM","CHANDSN","10/5/2018 4:42:07.000000 PM"
11898,20290,20291,"R_PROD_TEST","SD_IDC","8","N","CHANDSN","10/5/2018 4:39:32.000000 PM","CHANDSN","10/5/2018 4:42:07.000000 PM"
11899,20290,20291,"R_PROD_TEST","NUM_TESTID","1","N","CHANDSN","10/5/2018 4:39:32.000000 PM","CHANDSN","10/5/2018 4:42:07.000000 PM"
5000,1060,261,"DUMMY","ERROR_COUNT","100","N","JOYSX1","10/9/2016 10:49:36.000000 AM","CHANDSN","1/13/2018 8:29:06.000000 PM"
5001,1061,262,"THRESHOLD_COUNT","THRESHOLDS_COUNT","5","N","JOYSX1","10/9/2016 11:06:57.000000 AM","CHANDSN","3/23/2018 4:45:17.000000 PM"
5002,1061,262,"THRESHOLD_TEMPERATURE","ERROR_CODE_VALUE","35","N","JOYSX1","10/9/2016 11:08:50.000000 AM","CHANDSN","3/23/2018 4:45:17.000000 PM"
5003,1061,262,"CHART_CONFIG","THRESHOLD_DESCRIPTION",">=5 consecutive values > 35C in a single WZ probe in a day
","N","JOYSX1","10/9/2016 11:08:50.000000 AM","CHANDSN","3/23/2018 4:45:17.000000 PM"
5004,1062,263,"THRESHOLD_COUNT","THRESHOLDS_COUNT","2","N","JOYSX1","10/9/2016 11:16:36.000000 AM","CHANDSN","3/23/2018 4:45:27.000000 PM"
5005,1062,263,"THRESHOLD_TEMPERATURE","MIN_VALUE","14","N","JOYSX1","10/9/2016 11:16:36.000000 AM","CHANDSN","3/23/2018 4:45:27.000000 PM"
5006,1062,263,"CHART_CONFIG","THRESHOLD_DESCRIPTION",">=2 consecutive values < 14C on a single WZ probe in a day
","N","JOYSX1","10/9/2016 11:16:36.000000 AM","CHANDSN","3/23/2018 4:45:27.000000 PM"
5007,1063,264,"CHART_CONFIG","THRESHOLD_DESCRIPTION",">=20 consecutive values < 3C on a single WZ probe within an hour
","N","JOYSX1","10/9/2016 11:36:48.000000 AM","CHANDSN","3/2/2018 12:29:46.000000 PM"
5008,1063,264,"THRESHOLD_COUNT","THRESHOLDS_COUNT","20","N","JOYSX1","10/9/2016 11:36:48.000000 AM","CHANDSN","3/2/2018 12:29:46.000000 PM"
5009,1063,264,"THRESHOLD_TEMPERATURE","MIN_VALUE","3","N","JOYSX1","10/9/2016 11:36:48.000000 AM","CHANDSN","3/2/2018 12:29:46.000000 PM"
5010,1064,265,"Pressure Sensor","PIPETTER","123","N","JOYSX1","10/9/2016 11:52:54.000000 AM","CHANDSN","1/13/2018 9:10:53.000000 PM"
5011,1065,266,"CHART CONFIG","SD_VALUE","100","N","JOYSX1","10/9/2016 12:03:22.000000 PM","CHANDSN","2/15/2018 10:46:43.000000 AM"
5130,1180,381,"DM_FAIL_CC_PARAM_GROUP","IHN_LEVEL3_DESC","Daily Maintenance Fail","N","HEITZRP","5/5/2017 2:13:37.000000 PM","CHANDSN","1/14/2018 12:33:16.000000 PM"
5131,1180,381,"CHART_CONFIG","THRESHOLD_DESCRIPTION","DM Fail CC","N","HEITZRP","5/5/2017 2:13:37.000000 PM","CHANDSN","1/14/2018 12:33:16.000000 PM"
5132,1180,381,"DM_FAIL_CC_PARAM_GROUP","DM_FAIL_DAYS_WITH_FAIL","2","N","HEITZRP","5/5/2017 2:13:37.000000 PM","CHANDSN","1/14/2018 12:33:16.000000 PM"
5133,1180,381,"DM_FAIL_CC_PARAM_GROUP","DM_FAIL_N_PATIENT_SINCE_FAIL","1","N","HEITZRP","5/5/2017 2:13:37.000000 PM","CHANDSN","1/14/2018 12:33:16.000000 PM"
5134,1180,381,"DM_FAIL_CC_PARAM_GROUP","DM_FAIL_DAYS_WITH_PATIENT","1","N","HEITZRP","5/5/2017 2:13:37.000000 PM","CHANDSN","1/14/2018 12:33:16.000000 PM"
5135,1180,381,"DM_FAIL_CC_PARAM_GROUP","DM_FAIL_DAYS_SINCE_LAST_PAT","7","N","HEITZRP","5/5/2017 2:13:37.000000 PM","CHANDSN","1/14/2018 12:33:16.000000 PM"
5164,1106,307,"APA_CC","ERROR_COUNT","5","N","CHANDSN","8/2/2017 7:23:59.000000 PM","CHANDSN","2/11/2018 11:56:08.000000 PM"
5165,1106,307,"APA_CC","ERROR_CODE_VALUE","6506","N","CHANDSN","8/2/2017 7:23:59.000000 PM","CHANDSN","2/11/2018 11:56:08.000000 PM"
5166,1106,307,"CHART_CONFIG","THRESHOLD_DESCRIPTION","5/WEEK
","N","CHANDSN","8/2/2017 7:23:59.000000 PM","CHANDSN","2/11/2018 11:56:08.000000 PM"
5167,1106,307,"APA_CC","THRESHOLD_DATA_DAYS","7","N","CHANDSN","8/2/2017 7:23:59.000000 PM","CHANDSN","2/11/2018 11:56:08.000000 PM"
5168,1106,307,"APA_CC","IHN_LEVEL3_DESC","EC 6506 Cuvette Integrity Check","N","CHANDSN","8/2/2017 7:23:59.000000 PM","CHANDSN","2/11/2018 11:56:08.000000 PM"
5169,1106,307,"APA_CC","ERROR_CODE_REG_EXPR",,"N","CHANDSN","8/2/2017 7:25:45.000000 PM","CHANDSN","2/11/2018 11:56:08.000000 PM"
11794,20230,20231,"ICQ_VACUUMLEAK","IHN_LEVEL3_DESC","AIinity IA Vacuum Leak","N","CHANDSN","7/24/2018 12:15:12.000000 PM","CHANDSN","7/24/2018 12:16:11.000000 PM"
11795,20230,20231,"ICQ_VACUUMLEAK","VACUUMLEAK_MEANDIFF","7","N","CHANDSN","7/24/2018 12:15:12.000000 PM","CHANDSN","7/24/2018 12:16:11.000000 PM"
11796,20230,20231,"ICQ_VACUUMLEAK","VACUUMLEAK_FLAGDAYS","2","N","CHANDSN","7/24/2018 12:15:12.000000 PM","CHANDSN","7/24/2018 12:16:11.000000 PM"
11797,20230,20231,"ICQ_VACUUMLEAK","VACUUMLEAK_NDAYS","7","N","CHANDSN","7/24/2018 12:15:12.000000 PM","CHANDSN","7/24/2018 12:16:11.000000 PM"
11798,20230,20231,"ICQ_VACUUMLEAK","THRESHOLDS_COUNT","1","N","CHANDSN","7/24/2018 12:15:12.000000 PM","CHANDSN","7/24/2018 12:16:11.000000 PM"
11799,20230,20231,"CHART_CONFIG","THRESHOLD_DESCRIPTION","AIinity IA Vacuum Leak","N","CHANDSN","7/24/2018 12:15:12.000000 PM","CHANDSN","7/24/2018 12:16:11.000000 PM"
11800,20231,20232,"ICQ_VACUUMPUMP","IHN_LEVEL3_DESC","Alinity IA Vacuum Pump","N","CHANDSN","7/24/2018 12:37:11.000000 PM","CHANDSN","7/24/2018 12:40:14.000000 PM"
11801,20231,20232,"ICQ_VACUUMPUMP","THRESHOLDS_COUNT","1","N","CHANDSN","7/24/2018 12:37:11.000000 PM","CHANDSN","7/24/2018 12:40:14.000000 PM"
11802,20231,20232,"ICQ_VACUUMPUMP","VACUUMPUMP_STATENAME","VerifyVacuum","N","CHANDSN","7/24/2018 12:37:11.000000 PM","CHANDSN","7/24/2018 12:40:14.000000 PM"
11803,20231,20232,"ICQ_VACUUMPUMP","VACUUMPUMP_NUMEVALS","30","N","CHANDSN","7/24/2018 12:37:11.000000 PM","CHANDSN","7/24/2018 12:40:14.000000 PM"
11804,20231,20232,"ICQ_VACUUMPUMP","VACUUMPUMP_MINADC","2160","N","CHANDSN","7/24/2018 12:37:11.000000 PM","CHANDSN","7/24/2018 12:40:14.000000 PM"
11805,20231,20232,"CHART_CONFIG","THRESHOLD_DESCRIPTION","Alinity IA Vacuum Pump","N","CHANDSN","7/24/2018 12:37:11.000000 PM","CHANDSN","7/24/2018 12:40:14.000000 PM"
12096,20350,20351,"RUBY_APA_GROUP","ERROR_CODE_REG_EXPR","ERROR_CODE_REG_EXPR","N","CHANDSN","2/13/2019 11:40:37.000000 AM","CHANDSN","2/13/2019 12:11:33.000000 PM"
12097,20350,20351,"RUBY_APA_GROUP","ERROR_CODE_VALUE","99999","N","CHANDSN","2/13/2019 11:40:37.000000 AM","CHANDSN","2/13/2019 12:11:33.000000 PM"
12098,20350,20351,"RUBY_APA_GROUP","ERROR_COUNT","1","N","CHANDSN","2/13/2019 11:40:37.000000 AM","CHANDSN","2/13/2019 12:11:33.000000 PM"
12099,20350,20351,"RUBY_APA_GROUP","IHN_LEVEL3_DESC","IHN_LEVEL3_DESC","N","CHANDSN","2/13/2019 11:40:37.000000 AM","CHANDSN","2/13/2019 12:11:33.000000 PM"
12100,20350,20351,"RUBY_APA_GROUP","THRESHOLD_DATA_DAYS","1","N","CHANDSN","2/13/2019 11:40:37.000000 AM","CHANDSN","2/13/2019 12:11:33.000000 PM"
12101,20350,20351,"RUBY_APA_GROUP","THRESHOLD_TYPE","COUNT","N","CHANDSN","2/13/2019 11:40:37.000000 AM","CHANDSN","2/13/2019 12:11:33.000000 PM"
12102,20350,20351,"CHART_CONFIG","THRESHOLD_DESCRIPTION","1/DAY","N","CHANDSN","2/13/2019 11:40:37.000000 AM","CHANDSN","2/13/2019 12:11:33.000000 PM"
12103,20352,20353,"SAPPHIRE_APA_GROUP","ERROR_CODE_REG_EXPR","ERROR_CODE_REG_EXPR","N","CHANDSN","2/13/2019 11:59:57.000000 AM","CHANDSN","2/13/2019 11:59:57.000000 AM"
12104,20352,20353,"SAPPHIRE_APA_GROUP","ERROR_CODE_VALUE","99999","N","CHANDSN","2/13/2019 11:59:57.000000 AM","CHANDSN","2/13/2019 11:59:57.000000 AM"
12105,20352,20353,"SAPPHIRE_APA_GROUP","ERROR_COUNT","1","N","CHANDSN","2/13/2019 11:59:57.000000 AM","CHANDSN","2/13/2019 11:59:57.000000 AM"
12106,20352,20353,"SAPPHIRE_APA_GROUP","IHN_LEVEL3_DESC","IHN_LEVEL3_DESC","N","CHANDSN","2/13/2019 11:59:57.000000 AM","CHANDSN","2/13/2019 11:59:57.000000 AM"
12107,20352,20353,"SAPPHIRE_APA_GROUP","THRESHOLD_DATA_DAYS","1","N","CHANDSN","2/13/2019 11:59:57.000000 AM","CHANDSN","2/13/2019 11:59:57.000000 AM"
12108,20352,20353,"SAPPHIRE_APA_GROUP","THRESHOLD_TYPE","COUNT","N","CHANDSN","2/13/2019 11:59:57.000000 AM","CHANDSN","2/13/2019 11:59:57.000000 AM"
12109,20352,20353,"CHART_CONFIG","THRESHOLD_DESCRIPTION","1/DAY","N","CHANDSN","2/13/2019 11:59:57.000000 AM","CHANDSN","2/13/2019 11:59:57.000000 AM"
12110,20354,20355,"CHART_CONFIG","THRESHOLD_DESCRIPTION","1/DAY","N","LIJX8","2/13/2019 1:17:35.000000 PM","CHANDSN","2/25/2019 10:52:06.000000 AM"
12111,20354,20355,"RUBY_APA_GROUP","ERROR_CODE_REG_EXPR",,"N","LIJX8","2/13/2019 1:17:35.000000 PM","CHANDSN","2/25/2019 10:52:06.000000 AM"
12112,20354,20355,"RUBY_APA_GROUP","ERROR_CODE_VALUE","0840","N","LIJX8","2/13/2019 1:17:35.000000 PM","CHANDSN","2/25/2019 10:52:06.000000 AM"
12113,20354,20355,"RUBY_APA_GROUP","ERROR_COUNT","1","N","LIJX8","2/13/2019 1:17:35.000000 PM","CHANDSN","2/25/2019 10:52:06.000000 AM"
12114,20354,20355,"RUBY_APA_GROUP","IHN_LEVEL3_DESC","0840 Vacuum Accumulator #1 Wet","N","LIJX8","2/13/2019 1:17:35.000000 PM","CHANDSN","2/25/2019 10:52:06.000000 AM"
12115,20354,20355,"RUBY_APA_GROUP","THRESHOLD_DATA_DAYS","1","N","LIJX8","2/13/2019 1:17:35.000000 PM","CHANDSN","2/25/2019 10:52:06.000000 AM"
12116,20354,20355,"RUBY_APA_GROUP","THRESHOLD_TYPE","COUNT","N","LIJX8","2/13/2019 1:17:35.000000 PM","CHANDSN","2/25/2019 10:52:06.000000 AM"
12117,20355,20356,"CHART_CONFIG","THRESHOLD_DESCRIPTION","1/DAY","N","LIJX8","2/13/2019 1:29:26.000000 PM","CHANDSN","2/25/2019 10:52:30.000000 AM"
12118,20355,20356,"RUBY_APA_GROUP","ERROR_CODE_REG_EXPR",,"N","LIJX8","2/13/2019 1:29:26.000000 PM","CHANDSN","2/25/2019 10:52:30.000000 AM"
12119,20355,20356,"RUBY_APA_GROUP","ERROR_CODE_VALUE","0841","N","LIJX8","2/13/2019 1:29:26.000000 PM","CHANDSN","2/25/2019 10:52:30.000000 AM"
12120,20355,20356,"RUBY_APA_GROUP","ERROR_COUNT","1","N","LIJX8","2/13/2019 1:29:26.000000 PM","CHANDSN","2/25/2019 10:52:30.000000 AM"
12121,20355,20356,"RUBY_APA_GROUP","IHN_LEVEL3_DESC","0841 Vacuum Accumulator #2 Wet","N","LIJX8","2/13/2019 1:29:26.000000 PM","CHANDSN","2/25/2019 10:52:30.000000 AM"
12122,20355,20356,"RUBY_APA_GROUP","THRESHOLD_DATA_DAYS","1","N","LIJX8","2/13/2019 1:29:26.000000 PM","CHANDSN","2/25/2019 10:52:30.000000 AM"
12123,20355,20356,"RUBY_APA_GROUP","THRESHOLD_TYPE","COUNT","N","LIJX8","2/13/2019 1:29:26.000000 PM","CHANDSN","2/25/2019 10:52:30.000000 AM"
12124,20356,20357,"CHART_CONFIG","THRESHOLD_DESCRIPTION","1/DAY","N","LIJX8","2/13/2019 1:33:10.000000 PM","LIJX8","3/5/2019 8:09:15.000000 PM"
12125,20356,20357,"RUBY_APA_GROUP","ERROR_CODE_REG_EXPR",,"N","LIJX8","2/13/2019 1:33:10.000000 PM","LIJX8","3/5/2019 8:09:15.000000 PM"
12126,20356,20357,"RUBY_APA_GROUP","ERROR_CODE_VALUE","0843","N","LIJX8","2/13/2019 1:33:10.000000 PM","LIJX8","3/5/2019 8:09:15.000000 PM"
12127,20356,20357,"RUBY_APA_GROUP","ERROR_COUNT","1","N","LIJX8","2/13/2019 1:33:10.000000 PM","LIJX8","3/5/2019 8:09:15.000000 PM"
12128,20356,20357,"RUBY_APA_GROUP","IHN_LEVEL3_DESC","0843 Rbc Diluent Syringe Overpressure","N","LIJX8","2/13/2019 1:33:10.000000 PM","LIJX8","3/5/2019 8:09:15.000000 PM"
12129,20356,20357,"RUBY_APA_GROUP","THRESHOLD_DATA_DAYS","1","N","LIJX8","2/13/2019 1:33:10.000000 PM","LIJX8","3/5/2019 8:09:15.000000 PM"
12130,20356,20357,"RUBY_APA_GROUP","THRESHOLD_TYPE","COUNT","N","LIJX8","2/13/2019 1:33:10.000000 PM","LIJX8","3/5/2019 8:09:15.000000 PM"
12131,20357,20358,"CHART_CONFIG","THRESHOLD_DESCRIPTION","1/DAY","N","LIJX8","2/13/2019 1:40:54.000000 PM","LIJX8","3/5/2019 8:12:05.000000 PM"
12132,20357,20358,"RUBY_APA_GROUP","ERROR_CODE_REG_EXPR",,"N","LIJX8","2/13/2019 1:40:54.000000 PM","LIJX8","3/5/2019 8:12:05.000000 PM"
12133,20357,20358,"RUBY_APA_GROUP","ERROR_CODE_VALUE","1100","N","LIJX8","2/13/2019 1:40:54.000000 PM","LIJX8","3/5/2019 8:12:05.000000 PM"
12134,20357,20358,"RUBY_APA_GROUP","ERROR_COUNT","1","N","LIJX8","2/13/2019 1:40:54.000000 PM","LIJX8","3/5/2019 8:12:05.000000 PM"
