"country","continent","year","lifeExp","pop","gdpPercap"
"Equatorial Guinea","Africa",1952,34.482,216964,375.6431231
"Equatorial Guinea","Africa",1957,35.983,232922,426.0964081
"Equatorial Guinea","Africa",1962,37.485,249220,582.8419714
"Equatorial Guinea","Africa",1967,38.987,259864,915.5960025
"Equatorial Guinea","Africa",1972,40.516,277603,672.4122571
"Equatorial Guinea","Africa",1977,42.024,192675,958.5668124
"Equatorial Guinea","Africa",1982,43.662,285483,927.8253427
"Equatorial Guinea","Africa",1987,45.664,341244,966.8968149
"Equatorial Guinea","Africa",1992,47.545,387838,1132.055034
"Equatorial Guinea","Africa",1997,48.245,439971,2814.480755
"Equatorial Guinea","Africa",2002,49.348,495627,7703.4959
"Eritrea","Africa",1952,35.928,1438760,328.9405571
"Eritrea","Africa",1957,38.047,1542611,344.1618859
"Eritrea","Africa",1962,40.158,1666618,380.9958433
"Eritrea","Africa",1967,42.189,1820319,468.7949699
"Eritrea","Africa",1972,44.142,2260187,514.3242082
"Eritrea","Africa",1977,44.535,2512642,505.7538077
"Eritrea","Africa",1982,43.89,2637297,524.8758493
"Eritrea","Africa",1987,46.453,2915959,521.1341333
"Eritrea","Africa",1992,49.991,3668440,582.8585102
"Ethiopia","Africa",1952,34.078,20860941,362.1462796
"Ethiopia","Africa",1957,36.667,22815614,378.9041632
"Ethiopia","Africa",1962,40.059,25145372,419.4564161
"Ethiopia","Africa",1967,42.115,27860297,516.1186438
"Ethiopia","Africa",1972,43.515,30770372,566.2439442
"Ethiopia","Africa",1977,44.51,34617799,556.8083834
"Ethiopia","Africa",1982,44.916,38111756,577.8607471
"Ethiopia","Africa",1987,46.684,42999530,573.7413142
"Ethiopia","Africa",1992,48.091,52088559,421.3534653
"Ethiopia","Africa",1997,49.402,59861301,515.8894013
"Gabon","Africa",1952,37.003,420702,4293.476475
"Gabon","Africa",1957,38.999,434904,4976.198099
"Gabon","Africa",1962,40.489,455661,6631.459222
"Gabon","Africa",1967,44.598,489004,8358.761987
"Gabon","Africa",1972,48.69,537977,11401.94841
"Gambia","Africa",1952,30,284320,485.2306591
"Gambia","Africa",1957,32.065,323150,520.9267111
"Gambia","Africa",1962,33.896,374020,599.650276
"Gambia","Africa",1967,35.857,439593,734.7829124
"Gambia","Africa",1972,38.308,517101,756.0868363
"Gambia","Africa",1977,41.842,608274,884.7552507
"Gambia","Africa",1982,45.58,715523,835.8096108
"Gambia","Africa",1987,49.265,848406,611.6588611
"Ghana","Africa",1952,43.149,5581001,911.2989371
"Ghana","Africa",1957,44.779,6391288,1043.561537
"Ghana","Africa",1962,46.452,7355248,1190.041118
"Ghana","Africa",1967,48.072,8490213,1125.69716
"Ghana","Africa",1972,49.875,9354120,1178.223708
"Guatemala","Americas",1952,42.023,3146381,2428.237769
"Guatemala","Americas",1957,44.142,3640876,2617.155967
"Guatemala","Americas",1962,46.954,4208858,2750.364446
"Guinea","Africa",1952,33.609,2664249,510.1964923
"Guinea","Africa",1957,34.558,2876726,576.2670245
"Guinea","Africa",1962,35.753,3140003,686.3736739
"Guinea","Africa",1967,37.197,3451418,708.7595409
"Guinea","Africa",1972,38.842,3811387,741.6662307
"Guinea","Africa",1977,40.762,4227026,874.6858643
"Guinea","Africa",1982,42.891,4710497,857.2503577
"Guinea","Africa",1987,45.552,5650262,805.5724718
"Guinea","Africa",1992,48.576,6990574,794.3484384
"Guinea-Bissau","Africa",1952,32.5,580653,299.850319
"Guinea-Bissau","Africa",1957,33.489,601095,431.7904566
"Guinea-Bissau","Africa",1962,34.488,627820,522.0343725
"Guinea-Bissau","Africa",1967,35.492,601287,715.5806402
"Guinea-Bissau","Africa",1972,36.486,625361,820.2245876
"Guinea-Bissau","Africa",1977,37.465,745228,764.7259628
"Guinea-Bissau","Africa",1982,39.327,825987,838.1239671
"Guinea-Bissau","Africa",1987,41.245,927524,736.4153921
"Guinea-Bissau","Africa",1992,43.266,1050938,745.5398706
"Guinea-Bissau","Africa",1997,44.873,1193708,796.6644681
"Guinea-Bissau","Africa",2002,45.504,1332459,575.7047176
"Guinea-Bissau","Africa",2007,46.388,1472041,579.231743
"Haiti","Americas",1952,37.579,3201488,1840.366939
"Haiti","Americas",1957,40.696,3507701,1726.887882
"Haiti","Americas",1962,43.59,3880130,1796.589032
"Haiti","Americas",1967,46.243,4318137,1452.057666
"Haiti","Americas",1972,48.042,4698301,1654.456946
"Haiti","Americas",1977,49.923,4908554,1874.298931
"Honduras","Americas",1952,41.912,1517453,2194.926204
"Honduras","Americas",1957,44.665,1770390,2220.487682
"Honduras","Americas",1962,48.041,2090162,2291.156835
"India","Asia",1952,37.373,372000000,546.5657493
"India","Asia",1957,40.249,409000000,590.061996
"India","Asia",1962,43.605,454000000,658.3471509
"India","Asia",1967,47.193,506000000,700.7706107
"Indonesia","Asia",1952,37.468,82052000,749.6816546
"Indonesia","Asia",1957,39.918,90124000,858.9002707
"Indonesia","Asia",1962,42.518,99028000,849.2897701
"Indonesia","Asia",1967,45.964,109343000,762.4317721
"Indonesia","Asia",1972,49.203,121282000,1111.107907
"Iran","Asia",1952,44.869,17272000,3035.326002
"Iran","Asia",1957,47.181,19792000,3290.257643
"Iran","Asia",1962,49.325,22874000,4187.329802
"Iraq","Asia",1952,45.32,5441766,4129.766056
"Iraq","Asia",1957,48.437,6248643,6229.333562
"Jordan","Asia",1952,43.158,607914,1546.907807
"Jordan","Asia",1957,45.669,746559,1886.080591
"Jordan","Asia",1962,48.126,933559,2348.009158
"Kenya","Africa",1952,42.27,6464046,853.540919
"Kenya","Africa",1957,44.686,7454779,944.4383152
"Kenya","Africa",1962,47.949,8678557,896.9663732
"Korea, Rep.","Asia",1952,47.453,20947571,1030.592226
"Lesotho","Africa",1952,42.138,748747,298.8462121
"Lesotho","Africa",1957,45.047,813338,335.9971151
"Lesotho","Africa",1962,47.747,893143,411.8006266
"Lesotho","Africa",1967,48.492,996380,498.6390265
"Lesotho","Africa",1972,49.767,1116779,496.5815922
"Lesotho","Africa",2002,44.593,2046772,1275.184575
"Lesotho","Africa",2007,42.592,2012649,1569.331442
"Liberia","Africa",1952,38.48,863308,575.5729961
"Liberia","Africa",1957,39.486,975950,620.9699901
"Liberia","Africa",1962,40.502,1112796,634.1951625
"Liberia","Africa",1967,41.536,1279406,713.6036483
"Liberia","Africa",1972,42.614,1482628,803.0054535
"Liberia","Africa",1977,43.764,1703617,640.3224383
"Liberia","Africa",1982,44.852,1956875,572.1995694
"Liberia","Africa",1987,46.027,2269414,506.1138573
"Liberia","Africa",1992,40.802,1912974,636.6229191
"Liberia","Africa",1997,42.221,2200725,609.1739508
"Liberia","Africa",2002,43.753,2814651,531.4823679
"Liberia","Africa",2007,45.678,3193942,414.5073415
"Libya","Africa",1952,42.723,1019729,2387.54806
"Libya","Africa",1957,45.289,1201578,3448.284395
"Libya","Africa",1962,47.808,1441863,6757.030816
"Madagascar","Africa",1952,36.681,4762912,1443.011715
"Madagascar","Africa",1957,38.865,5181679,1589.20275
"Madagascar","Africa",1962,40.848,5703324,1643.38711
"Madagascar","Africa",1967,42.881,6334556,1634.047282
"Madagascar","Africa",1972,44.851,7082430,1748.562982
"Madagascar","Africa",1977,46.881,8007166,1544.228586
"Madagascar","Africa",1982,48.969,9171477,1302.878658
"Madagascar","Africa",1987,49.35,10568642,1155.441948
"Malawi","Africa",1952,36.256,2917802,369.1650802
"Malawi","Africa",1957,37.207,3221238,416.3698064
"Malawi","Africa",1962,38.41,3628608,427.9010856
"Malawi","Africa",1967,39.487,4147252,495.5147806
"Malawi","Africa",1972,41.766,4730997,584.6219709
"Malawi","Africa",1977,43.767,5637246,663.2236766
"Malawi","Africa",1982,45.642,6502825,632.8039209
"Malawi","Africa",1987,47.457,7824747,635.5173634
"Malawi","Africa",1992,49.42,10014249,563.2000145
"Malawi","Africa",1997,47.495,10419991,692.2758103
"Malawi","Africa",2002,45.009,11824495,665.4231186
"Malawi","Africa",2007,48.303,13327079,759.3499101
"Malaysia","Asia",1952,48.463,6748378,1831.132894
"Mali","Africa",1952,33.685,3838168,452.3369807
"Mali","Africa",1957,35.307,4241884,490.3821867
"Mali","Africa",1962,36.936,4690372,496.1743428
"Mali","Africa",1967,38.487,5212416,545.0098873
"Mali","Africa",1972,39.977,5828158,581.3688761
"Mali","Africa",1977,41.714,6491649,686.3952693
"Mali","Africa",1982,43.916,6998256,618.0140641
"Mali","Africa",1987,46.364,7634008,684.1715576
"Mali","Africa",1992,48.388,8416215,739.014375
"Mali","Africa",1997,49.903,9384984,790.2579846
"Mauritania","Africa",1952,40.543,1022556,743.1159097
"Mauritania","Africa",1957,42.338,1076852,846.1202613
"Mauritania","Africa",1962,44.248,1146757,1055.896036
"Mauritania","Africa",1967,46.289,1230542,1421.145193
"Mauritania","Africa",1972,48.437,1332786,1586.851781
"Mongolia","Asia",1952,42.244,800663,786.5668575
"Mongolia","Asia",1957,45.248,882134,912.6626085
"Mongolia","Asia",1962,48.251,1010280,1056.353958
"Morocco","Africa",1952,42.873,9939217,1688.20357
"Morocco","Africa",1957,45.423,11406350,1642.002314
"Morocco","Africa",1962,47.924,13056604,1566.353493
"Mozambique","Africa",1952,31.286,6446316,468.5260381
"Mozambique","Africa",1957,33.779,7038035,495.5868333
"Mozambique","Africa",1962,36.161,7788944,556.6863539
"Mozambique","Africa",1967,38.113,8680909,566.6691539
"Mozambique","Africa",1972,40.328,9809596,724.9178037
"Mozambique","Africa",1977,42.495,11127868,502.3197334
"Mozambique","Africa",1982,42.795,12587223,462.2114149
"Mozambique","Africa",1987,42.861,12891952,389.8761846
"Mozambique","Africa",1992,44.284,13160731,410.8968239
"Mozambique","Africa",1997,46.344,16603334,472.3460771
"Mozambique","Africa",2002,44.026,18473780,633.6179466
"Mozambique","Africa",2007,42.082,19951656,823.6856205
"Myanmar","Asia",1952,36.319,20092996,331
"Myanmar","Asia",1957,41.905,21731844,350
"Myanmar","Asia",1962,45.108,23634436,388
"Myanmar","Asia",1967,49.379,25870271,349
"Namibia","Africa",1952,41.725,485831,2423.780443
"Namibia","Africa",1957,45.226,548080,2621.448058
"Namibia","Africa",1962,48.386,621392,3173.215595
"Nepal","Asia",1952,36.157,9182536,545.8657229
"Nepal","Asia",1957,37.686,9682338,597.9363558
"Nepal","Asia",1962,39.393,10332057,652.3968593
"Nepal","Asia",1967,41.472,11261690,676.4422254
"Nepal","Asia",1972,43.971,12412593,674.7881296
"Nepal","Asia",1977,46.748,13933198,694.1124398
"Nepal","Asia",1982,49.594,15796314,718.3730947
"Nicaragua","Americas",1952,42.314,1165790,3112.363948
"Nicaragua","Americas",1957,45.432,1358828,3457.415947
"Nicaragua","Americas",1962,48.632,1590597,3634.364406
"Niger","Africa",1952,37.444,3379468,761.879376
"Niger","Africa",1957,38.598,3692184,835.5234025
"Niger","Africa",1962,39.487,4076008,997.7661127
"Niger","Africa",1967,40.118,4534062,1054.384891
"Niger","Africa",1972,40.546,5060262,954.2092363
"Niger","Africa",1977,41.291,5682086,808.8970728
"Niger","Africa",1982,42.598,6437188,909.7221354
"Niger","Africa",1987,44.555,7332638,668.3000228
"Niger","Africa",1992,47.391,8392818,581.182725
"Nigeria","Africa",1952,36.324,33119096,1077.281856
"Nigeria","Africa",1957,37.802,37173340,1100.592563
"Nigeria","Africa",1962,39.36,41871351,1150.927478
"Nigeria","Africa",1967,41.04,47287752,1014.514104
"Nigeria","Africa",1972,42.821,53740085,1698.388838
"Nigeria","Africa",1977,44.514,62209173,1981.951806
"Nigeria","Africa",1982,45.826,73039376,1576.97375
"Nigeria","Africa",1987,46.886,81551520,1385.029563
"Nigeria","Africa",1992,47.472,93364244,1619.848217
"Nigeria","Africa",1997,47.464,106207839,1624.941275
"Nigeria","Africa",2002,46.608,119901274,1615.286395
"Nigeria","Africa",2007,46.859,135031164,2013.977305
"Oman","Asia",1952,37.578,507833,1828.230307
"Oman","Asia",1957,40.08,561977,2242.746551
"Oman","Asia",1962,43.165,628164,2924.638113
"Oman","Asia",1967,46.988,714775,4720.942687
"Pakistan","Asia",1952,43.436,41346560,684.5971438
"Pakistan","Asia",1957,45.557,46679944,747.0835292
"Pakistan","Asia",1962,47.67,53100671,803.3427418
"Pakistan","Asia",1967,49.8,60641899,942.4082588
"Peru","Americas",1952,43.902,8025700,3758.523437
"Peru","Americas",1957,46.263,9146100,4245.256698
"Peru","Americas",1962,49.096,10516500,4957.037982
"Philippines","Asia",1952,47.752,22438691,1272.880995
"Rwanda","Africa",1952,40,2534927,493.3238752
"Rwanda","Africa",1957,41.5,2822082,540.2893983
"Rwanda","Africa",1962,43,3051242,597.4730727
"Rwanda","Africa",1967,44.1,3451079,510.9637142
"Rwanda","Africa",1972,44.6,3992121,590.5806638
"Rwanda","Africa",1977,45,4657072,670.0806011
"Rwanda","Africa",1982,46.218,5507565,881.5706467
"Rwanda","Africa",1987,44.02,6349365,847.991217
"Rwanda","Africa",1997,36.087,7212583,589.9445051
"Rwanda","Africa",2002,43.413,7852401,785.6537648
"Rwanda","Africa",2007,46.242,8860588,863.0884639
"Sao Tome and Principe","Africa",1952,46.471,60011,879.5835855
"Sao Tome and Principe","Africa",1957,48.945,61325,860.7369026
"Saudi Arabia","Asia",1952,39.875,4005677,6459.554823
"Saudi Arabia","Asia",1957,42.868,4419650,8157.591248
"Saudi Arabia","Asia",1962,45.914,4943029,11626.41975
"Saudi Arabia","Asia",1967,49.901,5618198,16903.04886
"Senegal","Africa",1952,37.278,2755589,1450.356983
"Senegal","Africa",1957,39.329,3054547,1567.653006
"Senegal","Africa",1962,41.454,3430243,1654.988723
"Senegal","Africa",1967,43.563,3965841,1612.404632
"Senegal","Africa",1972,45.815,4588696,1597.712056
"Senegal","Africa",1977,48.879,5260855,1561.769116
"Sierra Leone","Africa",1952,30.331,2143249,879.7877358
"Sierra Leone","Africa",1957,31.57,2295678,1004.484437
"Sierra Leone","Africa",1962,32.767,2467895,1116.639877
"Sierra Leone","Africa",1967,34.113,2662190,1206.043465
"Sierra Leone","Africa",1972,35.4,2879013,1353.759762
"Sierra Leone","Africa",1977,36.788,3140897,1348.285159
"Sierra Leone","Africa",1982,38.445,3464522,1465.010784
"Sierra Leone","Africa",1987,40.006,3868905,1294.447788
"Sierra Leone","Africa",1992,38.333,4260884,1068.696278
"Sierra Leone","Africa",1997,39.897,4578212,574.6481576
"Sierra Leone","Africa",2002,41.012,5359092,699.489713
"Sierra Leone","Africa",2007,42.568,6144562,862.5407561
"Somalia","Africa",1952,32.978,2526994,1135.749842
"Somalia","Africa",1957,34.977,2780415,1258.147413
"Somalia","Africa",1962,36.981,3080153,1369.488336
"Somalia","Africa",1967,38.977,3428839,1284.73318
"Somalia","Africa",1972,40.973,3840161,1254.576127
"Somalia","Africa",1977,41.974,4353666,1450.992513
"Somalia","Africa",1982,42.955,5828892,1176.807031
"Somalia","Africa",1987,44.501,6921858,1093.244963
"Somalia","Africa",1992,39.658,6099799,926.9602964
"Somalia","Africa",1997,43.795,6633514,930.5964284
"Somalia","Africa",2002,45.936,7753310,882.0818218
"Somalia","Africa",2007,48.159,9118773,926.1410683
"South Africa","Africa",1952,45.009,14264935,4725.295531
"South Africa","Africa",1957,47.985,16151549,5487.104219
"South Africa","Africa",1962,49.951,18356657,5768.729717
"South Africa","Africa",2007,49.339,43997828,9269.657808
"Sudan","Africa",1952,38.635,8504667,1615.991129
"Sudan","Africa",1957,39.624,9753392,1770.337074
"Sudan","Africa",1962,40.87,11183227,1959.593767
"Sudan","Africa",1967,42.858,12716129,1687.997641
"Sudan","Africa",1972,45.083,14597019,1659.652775
"Sudan","Africa",1977,47.8,17104986,2202.988423
"Swaziland","Africa",1952,41.407,290243,1148.376626
"Swaziland","Africa",1957,43.424,326741,1244.708364
"Swaziland","Africa",1962,44.992,370006,1856.182125
"Swaziland","Africa",1967,46.633,420690,2613.101665
"Swaziland","Africa",1972,49.552,480105,3364.836625
"Swaziland","Africa",2002,43.869,1130269,4128.116943
"Swaziland","Africa",2007,39.613,1133066,4513.480643
"Syria","Asia",1952,45.883,3661549,1643.485354
"Syria","Asia",1957,48.284,4149908,2117.234893
"Tanzania","Africa",1952,41.215,8322925,716.6500721
"Tanzania","Africa",1957,42.974,9452826,698.5356073
"Tanzania","Africa",1962,44.246,10863958,722.0038073
"Tanzania","Africa",1967,45.757,12607312,848.2186575
"Tanzania","Africa",1972,47.62,14706593,915.9850592
"Tanzania","Africa",1977,49.919,17129565,962.4922932
"Tanzania","Africa",1997,48.466,30686889,789.1862231
"Tanzania","Africa",2002,49.651,34593779,899.0742111
"Togo","Africa",1952,38.596,1219113,859.8086567
"Togo","Africa",1957,41.208,1357445,925.9083202
"Togo","Africa",1962,43.922,1528098,1067.53481
"Togo","Africa",1967,46.769,1735550,1477.59676
"Togo","Africa",1972,49.759,2056351,1649.660188
"Tunisia","Africa",1952,44.6,3647735,1468.475631
"Tunisia","Africa",1957,47.1,3950849,1395.232468
"Tunisia","Africa",1962,49.579,4286552,1660.30321
"Turkey","Europe",1952,43.585,22235677,1969.10098
"Turkey","Europe",1957,48.079,25670939,2218.754257
"Uganda","Africa",1952,39.978,5824797,734.753484
"Uganda","Africa",1957,42.571,6675501,774.3710692
"Uganda","Africa",1962,45.344,7688797,767.2717398
"Uganda","Africa",1967,48.051,8900294,908.9185217
"Uganda","Africa",1982,49.849,12939400,682.2662268
"Uganda","Africa",1992,48.825,18252190,644.1707969
"Uganda","Africa",1997,44.578,21210254,816.559081
"Uganda","Africa",2002,47.813,24739869,927.7210018
"Vietnam","Asia",1952,40.412,26246839,605.0664917
"Vietnam","Asia",1957,42.887,28998543,676.2854478
"Vietnam","Asia",1962,45.363,33796140,772.0491602
"Vietnam","Asia",1967,47.838,39463910,637.1232887
"West Bank and Gaza","Asia",1952,43.16,1030585,1515.592329
"West Bank and Gaza","Asia",1957,45.671,1070439,1827.067742
"West Bank and Gaza","Asia",1962,48.127,1133134,2198.956312
"Yemen, Rep.","Asia",1952,32.548,4963829,781.7175761
"Yemen, Rep.","Asia",1957,33.97,5498090,804.8304547
"Yemen, Rep.","Asia",1962,35.18,6120081,825.6232006
"Yemen, Rep.","Asia",1967,36.984,6740785,862.4421463
"Yemen, Rep.","Asia",1972,39.848,7407075,1265.047031
"Yemen, Rep.","Asia",1977,44.175,8403990,1829.765177
"Yemen, Rep.","Asia",1982,49.113,9657618,1977.55701
"Zambia","Africa",1952,42.038,2672000,1147.388831
"Zambia","Africa",1957,44.077,3016000,1311.956766
"Zambia","Africa",1962,46.023,3421000,1452.725766
"Zambia","Africa",1967,47.768,3900000,1777.077318
"Zambia","Africa",1992,46.1,8381163,1210.884633
"Zambia","Africa",1997,40.238,9417789,1071.353818
"Zambia","Africa",2002,39.193,10595811,1071.613938
"Zambia","Africa",2007,42.384,11746035,1271.211593
"Zimbabwe","Africa",1952,48.451,3080907,406.8841148
"Zimbabwe","Africa",1997,46.809,11404948,792.4499603
"Zimbabwe","Africa",2002,39.989,11926563,672.0386227
"Zimbabwe","Africa",2007,43.487,12311143,469.7092981
